Iteration	Global Fitness	Arrived Vehicles	Non Arrived Vehicles	Trip Time	Waiting Time
0         	1.096725       	206.0              	44.0                   	20191.0 	4661.0
1         	1.096725       	193.0              	56.0                   	21667.0 	7505.0
2         	1.096725       	189.0              	60.0                   	18885.0 	6920.0
3         	1.096725       	193.0              	56.0                   	19309.0 	5939.0
4         	1.096725       	187.0              	62.0                   	20001.0 	6798.0
5         	1.096725       	198.0              	52.0                   	19302.0 	5405.0
6         	1.096725       	173.0              	76.0                   	20706.0 	9301.0
7         	1.096725       	198.0              	52.0                   	19615.0 	5550.0
8         	1.096725       	196.0              	54.0                   	18436.0 	5232.0
9         	1.096725       	192.0              	56.0                   	20300.0 	6973.0
10        	1.096725       	186.0              	63.0                   	21221.0 	7282.0
11        	1.096725       	194.0              	56.0                   	20695.0 	6940.0
12        	1.096725       	186.0              	63.0                   	19721.0 	7180.0
13        	1.096725       	190.0              	59.0                   	21387.0 	7935.0
14        	1.096725       	191.0              	58.0                   	20599.0 	6972.0
15        	1.096725       	198.0              	52.0                   	20088.0 	5901.0
16        	1.096725       	188.0              	60.0                   	20492.0 	7219.0
17        	1.096725       	198.0              	51.0                   	21015.0 	6067.0
18        	1.096725       	196.0              	54.0                   	20020.0 	6288.0
19        	1.096725       	180.0              	70.0                   	19060.0 	8001.0
20        	1.096725       	195.0              	55.0                   	20423.0 	6204.0
21        	1.096725       	184.0              	66.0                   	20171.0 	7952.0
22        	1.096725       	194.0              	56.0                   	20241.0 	6543.0
23        	1.096725       	189.0              	60.0                   	22907.0 	8924.0
24        	1.096725       	194.0              	56.0                   	19705.0 	6185.0
25        	1.096725       	197.0              	53.0                   	18774.0 	5771.0
26        	1.096725       	186.0              	64.0                   	21590.0 	8422.0
27        	1.096725       	195.0              	55.0                   	19663.0 	6322.0
28        	1.096725       	192.0              	58.0                   	20338.0 	6474.0
29        	1.096725       	203.0              	47.0                   	21284.0 	6368.0
30        	1.096725       	192.0              	57.0                   	19305.0 	5943.0
31        	1.040096       	208.0              	42.0                   	19275.0 	5019.0
32        	1.040096       	190.0              	60.0                   	18825.0 	5645.0
33        	1.040096       	192.0              	58.0                   	20815.0 	6740.0
34        	1.040096       	191.0              	58.0                   	19832.0 	6672.0
35        	1.040096       	184.0              	65.0                   	19502.0 	7188.0
36        	1.040096       	188.0              	61.0                   	19873.0 	7160.0
37        	1.040096       	189.0              	60.0                   	19075.0 	6037.0
38        	1.040096       	195.0              	55.0                   	21248.0 	7712.0
39        	1.040096       	192.0              	58.0                   	19639.0 	6097.0
40        	1.040096       	196.0              	53.0                   	18883.0 	5135.0
