Iteration	Metric	Value
0	fitness	0.003205128205128205
0	global_fitness	0.003205128205128205
0	arrived_vehicles	312
0	non_arrived_vehicles	89
0	total_trip_time	53611.0
0	total_wait_time	30281.0
1	fitness	0.0033444816053511705
1	global_fitness	0.003205128205128205
1	arrived_vehicles	299
1	non_arrived_vehicles	76
1	total_trip_time	52860.0
1	total_wait_time	31263.0
2	fitness	0.0030303030303030303
2	global_fitness	0.0030303030303030303
2	arrived_vehicles	330
2	non_arrived_vehicles	81
2	total_trip_time	58246.0
2	total_wait_time	32184.0
3	fitness	0.002849002849002849
3	global_fitness	0.002849002849002849
3	arrived_vehicles	351
3	non_arrived_vehicles	67
3	total_trip_time	59631.0
3	total_wait_time	33474.0
4	fitness	0.003003003003003003
4	global_fitness	0.002849002849002849
4	arrived_vehicles	333
4	non_arrived_vehicles	66
4	total_trip_time	56151.0
4	total_wait_time	31534.0
5	fitness	0.002824858757062147
5	global_fitness	0.002824858757062147
5	arrived_vehicles	354
5	non_arrived_vehicles	56
5	total_trip_time	59649.0
5	total_wait_time	32644.0
6	fitness	0.002785515320334262
6	global_fitness	0.002785515320334262
6	arrived_vehicles	359
6	non_arrived_vehicles	61
6	total_trip_time	60167.0
6	total_wait_time	32556.0
7	fitness	0.0029154518950437317
7	global_fitness	0.002785515320334262
7	arrived_vehicles	343
7	non_arrived_vehicles	71
7	total_trip_time	61948.0
7	total_wait_time	35635.0
8	fitness	0.0028735632183908046
8	global_fitness	0.002785515320334262
8	arrived_vehicles	348
8	non_arrived_vehicles	72
8	total_trip_time	59148.0
8	total_wait_time	32506.0
9	fitness	0.0029069767441860465
9	global_fitness	0.002785515320334262
9	arrived_vehicles	344
9	non_arrived_vehicles	70
9	total_trip_time	56495.0
9	total_wait_time	31503.0
10	fitness	0.002932551319648094
10	global_fitness	0.002785515320334262
10	arrived_vehicles	341
10	non_arrived_vehicles	57
10	total_trip_time	55711.0
10	total_wait_time	31016.0
11	fitness	0.003003003003003003
11	global_fitness	0.002785515320334262
11	arrived_vehicles	333
11	non_arrived_vehicles	62
11	total_trip_time	58337.0
11	total_wait_time	33143.0
12	fitness	0.0029585798816568047
12	global_fitness	0.002785515320334262
12	arrived_vehicles	338
12	non_arrived_vehicles	67
12	total_trip_time	56701.0
12	total_wait_time	31401.0
13	fitness	0.0029069767441860465
13	global_fitness	0.002785515320334262
13	arrived_vehicles	344
13	non_arrived_vehicles	76
13	total_trip_time	57613.0
13	total_wait_time	31353.0
14	fitness	0.003076923076923077
14	global_fitness	0.002785515320334262
14	arrived_vehicles	325
14	non_arrived_vehicles	69
14	total_trip_time	50693.0
14	total_wait_time	27787.0
15	fitness	0.003003003003003003
15	global_fitness	0.002785515320334262
15	arrived_vehicles	333
15	non_arrived_vehicles	72
15	total_trip_time	57573.0
15	total_wait_time	32270.0
16	fitness	0.002840909090909091
16	global_fitness	0.002785515320334262
16	arrived_vehicles	352
16	non_arrived_vehicles	63
16	total_trip_time	56351.0
16	total_wait_time	30832.0
17	fitness	0.002898550724637681
17	global_fitness	0.002785515320334262
17	arrived_vehicles	345
17	non_arrived_vehicles	68
17	total_trip_time	59491.0
17	total_wait_time	33009.0
18	fitness	0.002840909090909091
18	global_fitness	0.002785515320334262
18	arrived_vehicles	352
18	non_arrived_vehicles	44
18	total_trip_time	54847.0
18	total_wait_time	29521.0
19	fitness	0.0028735632183908046
19	global_fitness	0.002785515320334262
19	arrived_vehicles	348
19	non_arrived_vehicles	67
19	total_trip_time	57818.0
19	total_wait_time	32279.0
20	fitness	0.0028328611898017
20	global_fitness	0.002785515320334262
20	arrived_vehicles	353
20	non_arrived_vehicles	67
20	total_trip_time	62659.0
20	total_wait_time	35194.0
21	fitness	0.003048780487804878
21	global_fitness	0.002785515320334262
21	arrived_vehicles	328
21	non_arrived_vehicles	79
21	total_trip_time	54075.0
21	total_wait_time	30337.0
22	fitness	0.002976190476190476
22	global_fitness	0.002785515320334262
22	arrived_vehicles	336
22	non_arrived_vehicles	72
22	total_trip_time	54100.0
22	total_wait_time	29507.0
23	fitness	0.0029850746268656717
23	global_fitness	0.002785515320334262
23	arrived_vehicles	335
23	non_arrived_vehicles	57
23	total_trip_time	52419.0
23	total_wait_time	28910.0
24	fitness	0.002770083102493075
24	global_fitness	0.002770083102493075
24	arrived_vehicles	361
24	non_arrived_vehicles	59
24	total_trip_time	55475.0
24	total_wait_time	28773.0
25	fitness	0.002932551319648094
25	global_fitness	0.002770083102493075
25	arrived_vehicles	341
25	non_arrived_vehicles	62
25	total_trip_time	60199.0
25	total_wait_time	34042.0
26	fitness	0.002680965147453083
26	global_fitness	0.002680965147453083
26	arrived_vehicles	373
26	non_arrived_vehicles	47
26	total_trip_time	60025.0
26	total_wait_time	31820.0
27	fitness	0.002638522427440633
27	global_fitness	0.002638522427440633
27	arrived_vehicles	379
27	non_arrived_vehicles	41
27	total_trip_time	61384.0
27	total_wait_time	32218.0
28	fitness	0.002638522427440633
28	global_fitness	0.002638522427440633
28	arrived_vehicles	379
28	non_arrived_vehicles	41
28	total_trip_time	62682.0
28	total_wait_time	32662.0
29	fitness	0.0026109660574412533
29	global_fitness	0.0026109660574412533
29	arrived_vehicles	383
29	non_arrived_vehicles	37
29	total_trip_time	60231.0
29	total_wait_time	31017.0
30	fitness	0.0026041666666666665
30	global_fitness	0.0026041666666666665
30	arrived_vehicles	384
30	non_arrived_vehicles	36
30	total_trip_time	63295.0
30	total_wait_time	34716.0
31	fitness	0.002564102564102564
31	global_fitness	0.002564102564102564
31	arrived_vehicles	390
31	non_arrived_vehicles	30
31	total_trip_time	61373.0
31	total_wait_time	32044.0
32	fitness	0.0026109660574412533
32	global_fitness	0.002564102564102564
32	arrived_vehicles	383
32	non_arrived_vehicles	31
32	total_trip_time	58494.0
32	total_wait_time	30692.0
33	fitness	0.002512562814070352
33	global_fitness	0.002512562814070352
33	arrived_vehicles	398
33	non_arrived_vehicles	22
33	total_trip_time	63363.0
33	total_wait_time	34425.0
34	fitness	0.002564102564102564
34	global_fitness	0.002512562814070352
34	arrived_vehicles	390
34	non_arrived_vehicles	30
34	total_trip_time	63515.0
34	total_wait_time	33687.0
35	fitness	0.002564102564102564
35	global_fitness	0.002512562814070352
35	arrived_vehicles	390
35	non_arrived_vehicles	30
