Iteration	Metric	Value
0	fitness	0.26200811841259497
0	global_fitness	0.26200811841259497
0	arrived_vehicles	337
0	non_arrived_vehicles	71
0	total_trip_time	55192.0
0	total_wait_time	29756.0
1	fitness	0.30205490289149955
1	global_fitness	0.26200811841259497
1	arrived_vehicles	318
1	non_arrived_vehicles	73
1	total_trip_time	52793.0
1	total_wait_time	30545.0
2	fitness	0.29703162387635
2	global_fitness	0.26200811841259497
2	arrived_vehicles	329
2	non_arrived_vehicles	62
2	total_trip_time	54765.0
2	total_wait_time	32151.0
3	fitness	0.3027529218407597
3	global_fitness	0.26200811841259497
3	arrived_vehicles	296
3	non_arrived_vehicles	66
3	total_trip_time	45507.0
3	total_wait_time	26526.0
4	fitness	0.30551916227521086
4	global_fitness	0.26200811841259497
4	arrived_vehicles	321
4	non_arrived_vehicles	86
4	total_trip_time	56221.0
4	total_wait_time	31481.0
5	fitness	0.26110204081632654
5	global_fitness	0.26110204081632654
5	arrived_vehicles	350
5	non_arrived_vehicles	52
5	total_trip_time	57991.0
5	total_wait_time	31985.0
6	fitness	0.2529498115453283
6	global_fitness	0.2529498115453283
6	arrived_vehicles	355
6	non_arrived_vehicles	60
6	total_trip_time	57120.0
6	total_wait_time	31878.0
7	fitness	0.265137988024151
7	global_fitness	0.2529498115453283
7	arrived_vehicles	347
7	non_arrived_vehicles	50
7	total_trip_time	55426.0
7	total_wait_time	31925.0
8	fitness	0.26305042613636365
8	global_fitness	0.2529498115453283
8	arrived_vehicles	352
8	non_arrived_vehicles	68
8	total_trip_time	57346.0
8	total_wait_time	32593.0
9	fitness	0.23561950685681063
9	global_fitness	0.23561950685681063
9	arrived_vehicles	342
9	non_arrived_vehicles	69
9	total_trip_time	50168.0
9	total_wait_time	27559.0
10	fitness	0.2376835261438906
10	global_fitness	0.23561950685681063
10	arrived_vehicles	362
10	non_arrived_vehicles	55
10	total_trip_time	58189.0
10	total_wait_time	31147.0
11	fitness	0.2541968057527051
11	global_fitness	0.23561950685681063
11	arrived_vehicles	343
11	non_arrived_vehicles	77
11	total_trip_time	55161.0
11	total_wait_time	29906.0
12	fitness	0.2579893601681731
12	global_fitness	0.23561950685681063
12	arrived_vehicles	363
12	non_arrived_vehicles	55
12	total_trip_time	61086.0
12	total_wait_time	33995.0
13	fitness	0.23378427114586292
13	global_fitness	0.23378427114586292
13	arrived_vehicles	361
13	non_arrived_vehicles	59
13	total_trip_time	56633.0
13	total_wait_time	30467.0
14	fitness	0.25124553837001784
14	global_fitness	0.23378427114586292
14	arrived_vehicles	328
14	non_arrived_vehicles	92
14	total_trip_time	50614.0
14	total_wait_time	27030.0
15	fitness	0.26382642048142
15	global_fitness	0.23378427114586292
15	arrived_vehicles	341
15	non_arrived_vehicles	79
15	total_trip_time	53522.0
15	total_wait_time	30678.0
16	fitness	0.25430910657856937
16	global_fitness	0.23378427114586292
16	arrived_vehicles	354
16	non_arrived_vehicles	55
16	total_trip_time	56457.0
16	total_wait_time	31869.0
17	fitness	0.24150467317626684
17	global_fitness	0.23378427114586292
17	arrived_vehicles	366
17	non_arrived_vehicles	49
17	total_trip_time	59814.0
17	total_wait_time	32351.0
18	fitness	0.23788328016513416
18	global_fitness	0.23378427114586292
18	arrived_vehicles	365
18	non_arrived_vehicles	50
18	total_trip_time	59417.0
18	total_wait_time	31692.0
19	fitness	0.24586769875608436
19	global_fitness	0.23378427114586292
19	arrived_vehicles	344
19	non_arrived_vehicles	76
19	total_trip_time	53161.0
19	total_wait_time	29095.0
20	fitness	0.25747112597930877
20	global_fitness	0.23378427114586292
20	arrived_vehicles	341
20	non_arrived_vehicles	75
20	total_trip_time	54219.0
20	total_wait_time	29939.0
21	fitness	0.24986122448979592
21	global_fitness	0.23378427114586292
21	arrived_vehicles	350
21	non_arrived_vehicles	58
21	total_trip_time	56502.0
21	total_wait_time	30608.0
22	fitness	0.2439236111111111
22	global_fitness	0.23378427114586292
22	arrived_vehicles	336
22	non_arrived_vehicles	79
22	total_trip_time	50880.0
22	total_wait_time	27538.0
23	fitness	0.24172611681851025
23	global_fitness	0.23378427114586292
