Iteration	Metric	Value
0	fitness	0.0029239766081871343
0	global_fitness	0.0029239766081871343
0	arrived_vehicles	342
0	non_arrived_vehicles	137
0	total_trip_time	59629.0
0	total_wait_time	33821.0
1	fitness	0.0029585798816568047
1	global_fitness	0.0029239766081871343
1	arrived_vehicles	338
1	non_arrived_vehicles	160
1	total_trip_time	55576.0
1	total_wait_time	30783.0
2	fitness	0.002976190476190476
2	global_fitness	0.0029239766081871343
2	arrived_vehicles	336
2	non_arrived_vehicles	135
2	total_trip_time	56917.0
2	total_wait_time	30194.0
3	fitness	0.0029154518950437317
3	global_fitness	0.0029154518950437317
3	arrived_vehicles	343
3	non_arrived_vehicles	131
3	total_trip_time	58224.0
3	total_wait_time	34356.0
4	fitness	0.0029069767441860465
4	global_fitness	0.0029069767441860465
4	arrived_vehicles	344
4	non_arrived_vehicles	140
4	total_trip_time	61340.0
4	total_wait_time	35652.0
5	fitness	0.002824858757062147
5	global_fitness	0.002824858757062147
5	arrived_vehicles	354
5	non_arrived_vehicles	143
5	total_trip_time	59036.0
5	total_wait_time	32676.0
6	fitness	0.0028735632183908046
6	global_fitness	0.002824858757062147
6	arrived_vehicles	348
6	non_arrived_vehicles	142
6	total_trip_time	62413.0
6	total_wait_time	35970.0
7	fitness	0.0028169014084507044
7	global_fitness	0.0028169014084507044
7	arrived_vehicles	355
7	non_arrived_vehicles	152
7	total_trip_time	56673.0
7	total_wait_time	31029.0
8	fitness	0.002785515320334262
8	global_fitness	0.002785515320334262
8	arrived_vehicles	359
8	non_arrived_vehicles	138
8	total_trip_time	61078.0
8	total_wait_time	34680.0
9	fitness	0.002702702702702703
9	global_fitness	0.002702702702702703
9	arrived_vehicles	370
9	non_arrived_vehicles	163
9	total_trip_time	64580.0
9	total_wait_time	36070.0
10	fitness	0.00273224043715847
10	global_fitness	0.002702702702702703
10	arrived_vehicles	366
10	non_arrived_vehicles	144
10	total_trip_time	61119.0
10	total_wait_time	34423.0
11	fitness	0.002824858757062147
11	global_fitness	0.002702702702702703
11	arrived_vehicles	354
11	non_arrived_vehicles	139
11	total_trip_time	59793.0
11	total_wait_time	33874.0
12	fitness	0.002840909090909091
12	global_fitness	0.002702702702702703
12	arrived_vehicles	352
12	non_arrived_vehicles	137
12	total_trip_time	60916.0
12	total_wait_time	34084.0
13	fitness	0.002793296089385475
13	global_fitness	0.002702702702702703
13	arrived_vehicles	358
13	non_arrived_vehicles	161
13	total_trip_time	60883.0
13	total_wait_time	34273.0
14	fitness	0.0026666666666666666
14	global_fitness	0.0026666666666666666
14	arrived_vehicles	375
14	non_arrived_vehicles	147
14	total_trip_time	64297.0
14	total_wait_time	35431.0
15	fitness	0.002770083102493075
15	global_fitness	0.0026666666666666666
15	arrived_vehicles	361
15	non_arrived_vehicles	156
15	total_trip_time	60969.0
15	total_wait_time	32556.0
16	fitness	0.002849002849002849
16	global_fitness	0.0026666666666666666
16	arrived_vehicles	351
16	non_arrived_vehicles	151
16	total_trip_time	59431.0
16	total_wait_time	31341.0
17	fitness	0.0028328611898017
17	global_fitness	0.0026666666666666666
17	arrived_vehicles	353
17	non_arrived_vehicles	122
17	total_trip_time	60257.0
17	total_wait_time	33805.0
18	fitness	0.0026666666666666666
18	global_fitness	0.0026666666666666666
18	arrived_vehicles	375
18	non_arrived_vehicles	138
18	total_trip_time	61849.0
18	total_wait_time	33956.0
19	fitness	0.0027247956403269754
19	global_fitness	0.0026666666666666666
19	arrived_vehicles	367
19	non_arrived_vehicles	147
19	total_trip_time	59854.0
19	total_wait_time	33649.0
20	fitness	0.002777777777777778
20	global_fitness	0.0026666666666666666
20	arrived_vehicles	360
20	non_arrived_vehicles	140
20	total_trip_time	60163.0
20	total_wait_time	33827.0
21	fitness	0.002849002849002849
21	global_fitness	0.0026666666666666666
21	arrived_vehicles	351
21	non_arrived_vehicles	146
21	total_trip_time	60267.0
21	total_wait_time	33330.0
22	fitness	0.0028169014084507044
22	global_fitness	0.0026666666666666666
22	arrived_vehicles	355
22	non_arrived_vehicles	151
22	total_trip_time	62217.0
22	total_wait_time	35211.0
23	fitness	0.002932551319648094
23	global_fitness	0.0026666666666666666
23	arrived_vehicles	341
23	non_arrived_vehicles	148
23	total_trip_time	58184.0
23	total_wait_time	32341.0
24	fitness	0.0029069767441860465
24	global_fitness	0.0026666666666666666
24	arrived_vehicles	344
24	non_arrived_vehicles	159
24	total_trip_time	59348.0
24	total_wait_time	32426.0
25	fitness	0.0027100271002710027
25	global_fitness	0.0026666666666666666
25	arrived_vehicles	369
25	non_arrived_vehicles	137
25	total_trip_time	62763.0
25	total_wait_time	35241.0
26	fitness	0.002680965147453083
26	global_fitness	0.0026666666666666666
26	arrived_vehicles	373
26	non_arrived_vehicles	140
26	total_trip_time	64708.0
26	total_wait_time	35677.0
27	fitness	0.0027472527472527475
27	global_fitness	0.0026666666666666666
27	arrived_vehicles	364
27	non_arrived_vehicles	127
27	total_trip_time	62716.0
27	total_wait_time	35141.0
28	fitness	0.0028011204481792717
28	global_fitness	0.0026666666666666666
28	arrived_vehicles	357
28	non_arrived_vehicles	139
28	total_trip_time	57593.0
28	total_wait_time	30992.0
29	fitness	0.002824858757062147
29	global_fitness	0.0026666666666666666
29	arrived_vehicles	354
29	non_arrived_vehicles	157
29	total_trip_time	55940.0
29	total_wait_time	30197.0
30	fitness	0.0026109660574412533
30	global_fitness	0.0026109660574412533
30	arrived_vehicles	383
30	non_arrived_vehicles	136
30	total_trip_time	64422.0
30	total_wait_time	34752.0
31	fitness	0.0026666666666666666
31	global_fitness	0.0026109660574412533
31	arrived_vehicles	375
31	non_arrived_vehicles	147
31	total_trip_time	65848.0
31	total_wait_time	36704.0
32	fitness	0.0026246719160104987
32	global_fitness	0.0026109660574412533
32	arrived_vehicles	381
32	non_arrived_vehicles	103
32	total_trip_time	56304.0
32	total_wait_time	30657.0
33	fitness	0.0026455026455026454
33	global_fitness	0.0026109660574412533
33	arrived_vehicles	378
33	non_arrived_vehicles	143
33	total_trip_time	57187.0
33	total_wait_time	30864.0
34	fitness	0.002577319587628866
34	global_fitness	0.002577319587628866
34	arrived_vehicles	388
34	non_arrived_vehicles	149
34	total_trip_time	60376.0
34	total_wait_time	31591.0
35	fitness	0.002631578947368421
35	global_fitness	0.002577319587628866
35	arrived_vehicles	380
35	non_arrived_vehicles	123
35	total_trip_time	63839.0
35	total_wait_time	34296.0
36	fitness	0.0024752475247524753
36	global_fitness	0.0024752475247524753
36	arrived_vehicles	404
36	non_arrived_vehicles	118
36	total_trip_time	64995.0
36	total_wait_time	33635.0
37	fitness	0.0025380710659898475
37	global_fitness	0.0024752475247524753
37	arrived_vehicles	394
37	non_arrived_vehicles	145
37	total_trip_time	61328.0
37	total_wait_time	32351.0
38	fitness	0.0023148148148148147
38	global_fitness	0.0023148148148148147
38	arrived_vehicles	432
38	non_arrived_vehicles	125
38	total_trip_time	69176.0
38	total_wait_time	36235.0
39	fitness	0.002347417840375587
39	global_fitness	0.0023148148148148147
39	arrived_vehicles	426
39	non_arrived_vehicles	130
39	total_trip_time	64640.0
39	total_wait_time	33361.0
