Iteration	Metric	Value
0	fitness	1.3129925893458656
0	global_fitness	1.3129925893458656
0	arrived_vehicles	351
0	non_arrived_vehicles	149
0	total_trip_time	56440.0
0	total_wait_time	30822.0
1	fitness	1.6419748233606195
1	global_fitness	1.3129925893458656
1	arrived_vehicles	319
1	non_arrived_vehicles	161
1	total_trip_time	54921.0
1	total_wait_time	31668.0
2	fitness	1.485573858334642
2	global_fitness	1.3129925893458656
2	arrived_vehicles	329
2	non_arrived_vehicles	144
2	total_trip_time	56931.0
2	total_wait_time	31869.0
3	fitness	1.4899029585798818
3	global_fitness	1.3129925893458656
3	arrived_vehicles	325
3	non_arrived_vehicles	130
3	total_trip_time	57017.0
3	total_wait_time	35354.0
4	fitness	1.4558047986446196
4	global_fitness	1.3129925893458656
4	arrived_vehicles	347
4	non_arrived_vehicles	159
4	total_trip_time	59728.0
4	total_wait_time	36064.0
5	fitness	1.3434486061566917
5	global_fitness	1.3129925893458656
5	arrived_vehicles	348
5	non_arrived_vehicles	143
5	total_trip_time	58569.0
5	total_wait_time	32628.0
6	fitness	1.3143591130340724
6	global_fitness	1.3129925893458656
6	arrived_vehicles	344
6	non_arrived_vehicles	132
6	total_trip_time	57081.0
6	total_wait_time	32455.0
7	fitness	1.4725
7	global_fitness	1.3129925893458656
7	arrived_vehicles	340
7	non_arrived_vehicles	161
7	total_trip_time	56911.0
7	total_wait_time	32810.0
8	fitness	1.429997096821019
8	global_fitness	1.3129925893458656
8	arrived_vehicles	332
8	non_arrived_vehicles	136
8	total_trip_time	57130.0
8	total_wait_time	32490.0
9	fitness	1.534853515625
9	global_fitness	1.3129925893458656
9	arrived_vehicles	320
9	non_arrived_vehicles	135
9	total_trip_time	56521.0
9	total_wait_time	33148.0
10	fitness	1.3208966474905772
10	global_fitness	1.3129925893458656
10	arrived_vehicles	355
10	non_arrived_vehicles	144
10	total_trip_time	61069.0
10	total_wait_time	33397.0
11	fitness	1.48157352574348
11	global_fitness	1.3129925893458656
11	arrived_vehicles	329
11	non_arrived_vehicles	147
11	total_trip_time	54158.0
11	total_wait_time	32709.0
12	fitness	1.5065684424444767
12	global_fitness	1.3129925893458656
12	arrived_vehicles	332
12	non_arrived_vehicles	148
12	total_trip_time	57746.0
12	total_wait_time	34314.0
13	fitness	1.1172973457058024
13	global_fitness	1.1172973457058024
13	arrived_vehicles	381
13	non_arrived_vehicles	146
13	total_trip_time	58008.0
13	total_wait_time	31180.0
14	fitness	1.3987700146284667
14	global_fitness	1.1172973457058024
14	arrived_vehicles	317
14	non_arrived_vehicles	121
14	total_trip_time	50084.0
14	total_wait_time	29977.0
15	fitness	1.0613931523022433
15	global_fitness	1.0613931523022433
15	arrived_vehicles	385
15	non_arrived_vehicles	125
15	total_trip_time	61101.0
15	total_wait_time	33724.0
16	fitness	1.0598891966759003
16	global_fitness	1.0598891966759003
16	arrived_vehicles	380
16	non_arrived_vehicles	130
16	total_trip_time	57230.0
16	total_wait_time	30818.0
17	fitness	1.1598769104222209
17	global_fitness	1.0598891966759003
17	arrived_vehicles	369
17	non_arrived_vehicles	136
17	total_trip_time	58595.0
17	total_wait_time	31335.0
18	fitness	1.2829551645552137
18	global_fitness	1.0598891966759003
18	arrived_vehicles	361
18	non_arrived_vehicles	143
18	total_trip_time	60877.0
18	total_wait_time	34819.0
19	fitness	1.01531982421875
