Iteration	Metric	Value
0	fitness	1.027284681130835e-05
0	global_fitness	1.027284681130835e-05
0	arrived_vehicles	312
0	non_arrived_vehicles	66
0	total_trip_time	32912.0
0	total_wait_time	16928.0
1	fitness	1.1809024456489649e-05
1	global_fitness	1.027284681130835e-05
1	arrived_vehicles	291
1	non_arrived_vehicles	96
1	total_trip_time	35270.0
1	total_wait_time	19906.0
2	fitness	9.826947455311957e-06
2	global_fitness	9.826947455311957e-06
2	arrived_vehicles	319
2	non_arrived_vehicles	62
2	total_trip_time	34231.0
2	total_wait_time	17872.0
3	fitness	9.409462155143212e-06
3	global_fitness	9.409462155143212e-06
3	arrived_vehicles	326
3	non_arrived_vehicles	70
3	total_trip_time	36998.0
3	total_wait_time	19629.0
4	fitness	9.765625e-06
4	global_fitness	9.409462155143212e-06
4	arrived_vehicles	320
4	non_arrived_vehicles	57
4	total_trip_time	35527.0
4	total_wait_time	18863.0
5	fitness	1.00144207659029e-05
5	global_fitness	9.409462155143212e-06
5	arrived_vehicles	316
5	non_arrived_vehicles	59
5	total_trip_time	35286.0
5	total_wait_time	18603.0
6	fitness	9.127335456960049e-06
6	global_fitness	9.127335456960049e-06
6	arrived_vehicles	331
6	non_arrived_vehicles	69
6	total_trip_time	39980.0
6	total_wait_time	21934.0
7	fitness	9.072434315575554e-06
7	global_fitness	9.072434315575554e-06
7	arrived_vehicles	332
7	non_arrived_vehicles	68
7	total_trip_time	38045.0
7	total_wait_time	20206.0
8	fitness	9.644689633887581e-06
8	global_fitness	9.072434315575554e-06
8	arrived_vehicles	322
8	non_arrived_vehicles	55
8	total_trip_time	34241.0
8	total_wait_time	17536.0
9	fitness	9.018027036045055e-06
9	global_fitness	9.018027036045055e-06
9	arrived_vehicles	333
9	non_arrived_vehicles	67
9	total_trip_time	36712.0
9	total_wait_time	18777.0
10	fitness	9.525986892242037e-06
10	global_fitness	9.018027036045055e-06
10	arrived_vehicles	324
10	non_arrived_vehicles	66
10	total_trip_time	35869.0
10	total_wait_time	18612.0
11	fitness	9.351999925184e-06
11	global_fitness	9.018027036045055e-06
11	arrived_vehicles	327
11	non_arrived_vehicles	68
11	total_trip_time	34858.0
11	total_wait_time	17550.0
12	fitness	8.7016298152644e-06
12	global_fitness	8.7016298152644e-06
12	arrived_vehicles	339
12	non_arrived_vehicles	61
12	total_trip_time	37350.0
12	total_wait_time	19190.0
13	fitness	8.7016298152644e-06
13	global_fitness	8.7016298152644e-06
13	arrived_vehicles	339
13	non_arrived_vehicles	61
13	total_trip_time	37639.0
13	total_wait_time	19149.0
14	fitness	9.018027036045055e-06
14	global_fitness	8.7016298152644e-06
14	arrived_vehicles	333
14	non_arrived_vehicles	60
14	total_trip_time	36492.0
14	total_wait_time	19212.0
15	fitness	8.7016298152644e-06
15	global_fitness	8.7016298152644e-06
15	arrived_vehicles	339
15	non_arrived_vehicles	61
15	total_trip_time	37533.0
15	total_wait_time	19145.0
16	fitness	8.401596303297626e-06
16	global_fitness	8.401596303297626e-06
16	arrived_vehicles	345
16	non_arrived_vehicles	55
16	total_trip_time	37954.0
16	total_wait_time	19217.0
17	fitness	8.353102342209896e-06
17	global_fitness	8.353102342209896e-06
17	arrived_vehicles	346
17	non_arrived_vehicles	54
17	total_trip_time	39059.0
17	total_wait_time	20281.0
18	fitness	8.499859752314087e-06
18	global_fitness	8.353102342209896e-06
18	arrived_vehicles	343
18	non_arrived_vehicles	57
18	total_trip_time	38560.0
18	total_wait_time	19796.0
19	fitness	8.450513791238508e-06
19	global_fitness	8.353102342209896e-06
19	arrived_vehicles	344
19	non_arrived_vehicles	56
19	total_trip_time	37594.0
19	total_wait_time	19077.0
20	fitness	7.934933544931562e-06
20	global_fitness	7.934933544931562e-06
20	arrived_vehicles	355
20	non_arrived_vehicles	45
20	total_trip_time	38901.0
20	total_wait_time	19789.0
21	fitness	8.11681723362635e-06
21	global_fitness	7.934933544931562e-06
21	arrived_vehicles	351
21	non_arrived_vehicles	49
21	total_trip_time	38264.0
21	total_wait_time	19543.0
22	fitness	8.163265306122448e-06
22	global_fitness	7.934933544931562e-06
22	arrived_vehicles	350
22	non_arrived_vehicles	50
22	total_trip_time	39127.0
22	total_wait_time	20262.0
23	fitness	8.11681723362635e-06
23	global_fitness	7.934933544931562e-06
23	arrived_vehicles	351
23	non_arrived_vehicles	49
23	total_trip_time	38478.0
23	total_wait_time	19671.0
24	fitness	8.163265306122448e-06
24	global_fitness	7.934933544931562e-06
24	arrived_vehicles	350
24	non_arrived_vehicles	50
24	total_trip_time	38499.0
24	total_wait_time	19660.0
25	fitness	7.89041787653074e-06
25	global_fitness	7.89041787653074e-06
25	arrived_vehicles	356
25	non_arrived_vehicles	44
25	total_trip_time	38370.0
25	total_wait_time	19081.0
26	fitness	8.401596303297626e-06
26	global_fitness	7.89041787653074e-06
26	arrived_vehicles	345
26	non_arrived_vehicles	55
26	total_trip_time	37250.0
26	total_wait_time	18069.0
27	fitness	7.673360394717659e-06
27	global_fitness	7.673360394717659e-06
27	arrived_vehicles	361
27	non_arrived_vehicles	39
27	total_trip_time	38297.0
27	total_wait_time	19081.0
28	fitness	8.11681723362635e-06
28	global_fitness	7.673360394717659e-06
28	arrived_vehicles	351
28	non_arrived_vehicles	49
28	total_trip_time	36277.0
28	total_wait_time	17529.0
29	fitness	8.025102520684701e-06
29	global_fitness	7.673360394717659e-06
29	arrived_vehicles	353
29	non_arrived_vehicles	46
29	total_trip_time	39428.0
29	total_wait_time	20555.0
30	fitness	8.305027032862993e-06
30	global_fitness	7.673360394717659e-06
30	arrived_vehicles	347
30	non_arrived_vehicles	53
30	total_trip_time	38143.0
30	total_wait_time	19209.0
