Iteration	Metric	Value
0	fitness	0.9251572084410323
0	global_fitness	0.9251572084410323
0	arrived_vehicles	322
0	non_arrived_vehicles	77
0	total_trip_time	37231.0
0	total_wait_time	20193.0
1	fitness	1.2176054170514004
1	global_fitness	0.9251572084410323
1	arrived_vehicles	285
1	non_arrived_vehicles	83
1	total_trip_time	36045.0
1	total_wait_time	21355.0
2	fitness	0.7875124373728747
2	global_fitness	0.7875124373728747
2	arrived_vehicles	337
2	non_arrived_vehicles	63
2	total_trip_time	37853.0
2	total_wait_time	20084.0
3	fitness	0.757546488457288
3	global_fitness	0.757546488457288
3	arrived_vehicles	339
3	non_arrived_vehicles	61
3	total_trip_time	37174.0
3	total_wait_time	19384.0
4	fitness	0.7799618868614091
4	global_fitness	0.757546488457288
4	arrived_vehicles	339
4	non_arrived_vehicles	61
4	total_trip_time	38681.0
4	total_wait_time	20453.0
5	fitness	0.8404324492192429
5	global_fitness	0.757546488457288
5	arrived_vehicles	321
5	non_arrived_vehicles	72
5	total_trip_time	33468.0
5	total_wait_time	17131.0
6	fitness	0.8347266185104023
6	global_fitness	0.757546488457288
6	arrived_vehicles	333
6	non_arrived_vehicles	67
6	total_trip_time	38310.0
6	total_wait_time	20752.0
7	fitness	0.5514883468180172
7	global_fitness	0.5514883468180172
7	arrived_vehicles	364
7	non_arrived_vehicles	36
7	total_trip_time	37261.0
7	total_wait_time	17809.0
8	fitness	0.7614359861591695
8	global_fitness	0.5514883468180172
8	arrived_vehicles	340
8	non_arrived_vehicles	60
8	total_trip_time	37783.0
8	total_wait_time	20239.0
9	fitness	0.49810885642731767
9	global_fitness	0.49810885642731767
9	arrived_vehicles	369
9	non_arrived_vehicles	31
9	total_trip_time	35896.0
9	total_wait_time	16427.0
10	fitness	0.4866850189392578
10	global_fitness	0.4866850189392578
10	arrived_vehicles	373
10	non_arrived_vehicles	27
10	total_trip_time	37088.0
10	total_wait_time	17124.0
11	fitness	0.49141444271144047
11	global_fitness	0.4866850189392578
11	arrived_vehicles	373
11	non_arrived_vehicles	27
11	total_trip_time	37640.0
11	total_wait_time	17230.0
12	fitness	0.48947379769853877
12	global_fitness	0.4866850189392578
12	arrived_vehicles	373
12	non_arrived_vehicles	27
12	total_trip_time	37000.0
12	total_wait_time	17600.0
13	fitness	0.4927383555771899
13	global_fitness	0.4866850189392578
13	arrived_vehicles	371
13	non_arrived_vehicles	29
13	total_trip_time	36598.0
13	total_wait_time	16723.0
14	fitness	0.47464627204863186
14	global_fitness	0.47464627204863186
14	arrived_vehicles	377
14	non_arrived_vehicles	23
14	total_trip_time	37973.0
14	total_wait_time	17988.0
15	fitness	0.4762183489420742
15	global_fitness	0.47464627204863186
15	arrived_vehicles	372
15	non_arrived_vehicles	28
15	total_trip_time	35707.0
15	total_wait_time	16194.0
16	fitness	0.48625376449194635
16	global_fitness	0.47464627204863186
16	arrived_vehicles	373
16	non_arrived_vehicles	27
16	total_trip_time	37124.0
16	total_wait_time	17028.0
17	fitness	0.4674837647489253
17	global_fitness	0.4674837647489253
17	arrived_vehicles	377
17	non_arrived_vehicles	23
17	total_trip_time	37605.0
