Iteration	Metric	Value
0	fitness	0.8476767340501224
0	global_fitness	0.8476767340501224
0	arrived_vehicles	312
0	non_arrived_vehicles	66
0	total_trip_time	32912.0
0	total_wait_time	16928.0
1	fitness	0.9209481324858503
1	global_fitness	0.8476767340501224
1	arrived_vehicles	321
1	non_arrived_vehicles	74
1	total_trip_time	37621.0
1	total_wait_time	20621.0
2	fitness	0.7542713609088595
2	global_fitness	0.7542713609088595
2	arrived_vehicles	318
2	non_arrived_vehicles	55
2	total_trip_time	32757.0
2	total_wait_time	16316.0
3	fitness	0.7978845250874912
3	global_fitness	0.7542713609088595
3	arrived_vehicles	310
3	non_arrived_vehicles	54
3	total_trip_time	33050.0
3	total_wait_time	16927.0
4	fitness	0.7120879158774647
4	global_fitness	0.7120879158774647
4	arrived_vehicles	340
4	non_arrived_vehicles	54
4	total_trip_time	36752.0
4	total_wait_time	18845.0
5	fitness	0.6762104764148421
5	global_fitness	0.6762104764148421
5	arrived_vehicles	339
5	non_arrived_vehicles	51
5	total_trip_time	35071.0
5	total_wait_time	17407.0
6	fitness	0.6903992642030046
6	global_fitness	0.6762104764148421
6	arrived_vehicles	344
6	non_arrived_vehicles	54
6	total_trip_time	36570.0
6	total_wait_time	18400.0
7	fitness	0.7928200088390593
7	global_fitness	0.6762104764148421
7	arrived_vehicles	338
7	non_arrived_vehicles	62
7	total_trip_time	38933.0
7	total_wait_time	20958.0
8	fitness	0.7756392306022057
8	global_fitness	0.6762104764148421
8	arrived_vehicles	333
8	non_arrived_vehicles	67
8	total_trip_time	35066.0
8	total_wait_time	17762.0
9	fitness	0.6902214793388287
9	global_fitness	0.6762104764148421
9	arrived_vehicles	339
9	non_arrived_vehicles	53
9	total_trip_time	35467.0
9	total_wait_time	17620.0
10	fitness	0.6261409898715025
10	global_fitness	0.6261409898715025
10	arrived_vehicles	351
10	non_arrived_vehicles	45
10	total_trip_time	36606.0
10	total_wait_time	18282.0
11	fitness	0.6525091784067031
11	global_fitness	0.6261409898715025
11	arrived_vehicles	347
11	non_arrived_vehicles	47
11	total_trip_time	36853.0
11	total_wait_time	18470.0
12	fitness	0.7120081866633328
12	global_fitness	0.6261409898715025
12	arrived_vehicles	328
12	non_arrived_vehicles	51
12	total_trip_time	34003.0
12	total_wait_time	17380.0
13	fitness	0.5101619590836355
13	global_fitness	0.5101619590836355
13	arrived_vehicles	369
13	non_arrived_vehicles	31
13	total_trip_time	37046.0
13	total_wait_time	17115.0
14	fitness	0.5710561331848001
14	global_fitness	0.5101619590836355
14	arrived_vehicles	359
14	non_arrived_vehicles	41
14	total_trip_time	36286.0
14	total_wait_time	17031.0
15	fitness	0.5443311692872697
15	global_fitness	0.5101619590836355
15	arrived_vehicles	364
15	non_arrived_vehicles	36
15	total_trip_time	36935.0
15	total_wait_time	17395.0
16	fitness	0.5401645071218316
16	global_fitness	0.5101619590836355
16	arrived_vehicles	363
16	non_arrived_vehicles	37
16	total_trip_time	36105.0
16	total_wait_time	16779.0
17	fitness	0.5442973586591069
17	global_fitness	0.5101619590836355
17	arrived_vehicles	366
17	non_arrived_vehicles	34
17	total_trip_time	37833.0
17	total_wait_time	18287.0
