Iteration	Metric	Value
0	fitness	0.19145504602235372
0	global_fitness	0.19145504602235372
0	arrived_vehicles	312
0	non_arrived_vehicles	75
0	total_trip_time	34895.0
0	total_wait_time	18637.0
1	fitness	0.17828210284401033
1	global_fitness	0.17828210284401033
1	arrived_vehicles	295
1	non_arrived_vehicles	86
1	total_trip_time	30469.0
1	total_wait_time	15515.0
2	fitness	0.17464207538672616
2	global_fitness	0.17464207538672616
2	arrived_vehicles	309
2	non_arrived_vehicles	83
2	total_trip_time	32554.0
2	total_wait_time	16675.0
3	fitness	0.16344141142295698
3	global_fitness	0.16344141142295698
3	arrived_vehicles	306
3	non_arrived_vehicles	74
3	total_trip_time	30908.0
3	total_wait_time	15304.0
4	fitness	0.15221775147928995
4	global_fitness	0.15221775147928995
4	arrived_vehicles	325
4	non_arrived_vehicles	64
4	total_trip_time	33097.0
4	total_wait_time	16078.0
5	fitness	0.15500427908652764
5	global_fitness	0.15221775147928995
5	arrived_vehicles	298
5	non_arrived_vehicles	88
5	total_trip_time	28407.0
5	total_wait_time	13765.0
6	fitness	0.1617431572353777
6	global_fitness	0.15221775147928995
6	arrived_vehicles	299
6	non_arrived_vehicles	85
6	total_trip_time	29542.0
6	total_wait_time	14460.0
7	fitness	0.1449809928864466
7	global_fitness	0.1449809928864466
7	arrived_vehicles	326
7	non_arrived_vehicles	72
7	total_trip_time	32393.0
7	total_wait_time	15408.0
8	fitness	0.13990629595431073
8	global_fitness	0.13990629595431073
8	arrived_vehicles	342
8	non_arrived_vehicles	58
8	total_trip_time	34509.0
8	total_wait_time	16364.0
9	fitness	0.15578297595841456
9	global_fitness	0.13990629595431073
9	arrived_vehicles	342
9	non_arrived_vehicles	58
9	total_trip_time	36715.0
9	total_wait_time	18221.0
10	fitness	0.14752362948960301
10	global_fitness	0.13990629595431073
10	arrived_vehicles	345
10	non_arrived_vehicles	54
10	total_trip_time	35822.0
10	total_wait_time	17559.0
11	fitness	0.140979921579232
11	global_fitness	0.13990629595431073
11	arrived_vehicles	344
11	non_arrived_vehicles	55
11	total_trip_time	35015.0
11	total_wait_time	16683.0
12	fitness	0.14336568047337278
12	global_fitness	0.13990629595431073
12	arrived_vehicles	325
12	non_arrived_vehicles	67
12	total_trip_time	32065.0
12	total_wait_time	15143.0
13	fitness	0.14670896874311073
13	global_fitness	0.13990629595431073
13	arrived_vehicles	323
13	non_arrived_vehicles	67
13	total_trip_time	32306.0
13	total_wait_time	15306.0
14	fitness	0.1438840830449827
14	global_fitness	0.13990629595431073
14	arrived_vehicles	340
14	non_arrived_vehicles	59
14	total_trip_time	34514.0
14	total_wait_time	16633.0
15	fitness	0.137452549502411
15	global_fitness	0.137452549502411
15	arrived_vehicles	342
15	non_arrived_vehicles	58
15	total_trip_time	34189.0
15	total_wait_time	16077.0
16	fitness	0.13652391129868607
16	global_fitness	0.13652391129868607
16	arrived_vehicles	333
16	non_arrived_vehicles	63
16	total_trip_time	32574.0
16	total_wait_time	15139.0
17	fitness	0.13068123525187236
17	global_fitness	0.13068123525187236
17	arrived_vehicles	342
17	non_arrived_vehicles	58
17	total_trip_time	33269.0
17	total_wait_time	15285.0
18	fitness	0.13762975778546713
18	global_fitness	0.13068123525187236
18	arrived_vehicles	340
18	non_arrived_vehicles	60
18	total_trip_time	33742.0
18	total_wait_time	15910.0
