Iteration	Metric	Mean	Std
0	fitness	1.1776052518593587e-05	2.2484343397396703e-06
0	global_fitness	8.025102520684701e-06	N/A
0	arrived_vehicles	295.6	29.39115513211415
0	non_arrived_vehicles	86.2	22.77191252398445
0	total_trip_time	32898.2	3377.1522855802637
0	total_wait_time	30456.6	4418.0511812336445
1	fitness	1.2672911916281383e-05	1.1503136521025346e-06
1	global_fitness	8.025102520684701e-06	N/A
1	arrived_vehicles	281.9	14.446106741956465
1	non_arrived_vehicles	96.5	12.7455874717488
1	total_trip_time	28811.6	1456.0875111063895
1	total_wait_time	30780.1	2405.8043332740094
2	fitness	1.1717618753852002e-05	2.132611388161281e-06
2	global_fitness	8.025102520684701e-06	N/A
2	arrived_vehicles	296.1	28.91522090526026
2	non_arrived_vehicles	86.0	22.41428116179504
2	total_trip_time	30954.6	3405.6466992334954
2	total_wait_time	29333.8	4165.252112417687
3	fitness	9.428183701641372e-06	1.607023123795206e-06
3	global_fitness	8.025102520684701e-06	N/A
3	arrived_vehicles	328.7	24.045997587956293
3	non_arrived_vehicles	61.8	19.009471323527123
3	total_trip_time	36368.9	2315.289072664578
3	total_wait_time	25890.5	3714.9379604510223
4	fitness	9.361687769771613e-06	7.067283180053955e-07
4	global_fitness	8.025102520684701e-06	N/A
4	arrived_vehicles	327.5	11.884864324004713
4	non_arrived_vehicles	65.0	11.278297743897348
4	total_trip_time	36659.7	1058.0396070091138
4	total_wait_time	26607.7	2664.8060360934337
5	fitness	8.901564660744159e-06	4.570273179029467e-07
5	global_fitness	8.025102520684701e-06	N/A
5	arrived_vehicles	335.5	8.546929273136639
5	non_arrived_vehicles	54.9	6.024118192731614
5	total_trip_time	36806.1	1711.0824322632736
5	total_wait_time	24840.4	1744.8091700813588
6	fitness	9.552636945186035e-06	1.4161647023363737e-06
6	global_fitness	8.025102520684701e-06	N/A
6	arrived_vehicles	325.9	21.528817896020207
6	non_arrived_vehicles	63.4	18.06211504780102
6	total_trip_time	35337.0	3166.0913126440305
6	total_wait_time	26043.8	2397.007417593863
7	fitness	9.072708033517675e-06	1.1202827124888052e-06
7	global_fitness	8.025102520684701e-06	N/A
7	arrived_vehicles	333.7	18.628204422326913
7	non_arrived_vehicles	56.4	16.584329953302305
7	total_trip_time	36285.3	2387.1028486430996
7	total_wait_time	25064.9	2282.814861087075
8	fitness	8.733851918003792e-06	4.3524778504497003e-07
8	global_fitness	7.846275765208045e-06	N/A
8	arrived_vehicles	338.7	8.69540108333135
8	non_arrived_vehicles	54.2	8.034923770640267
8	total_trip_time	36935.4	1072.6860864204402
8	total_wait_time	24502.0	1471.2639464079857
9	fitness	8.511918318165495e-06	8.498601403190959e-07
9	global_fitness	7.547397657287767e-06	N/A
9	arrived_vehicles	343.9	15.481924944915603
9	non_arrived_vehicles	49.9	11.49304137293519
9	total_trip_time	37151.8	2226.4104653005925
9	total_wait_time	23654.2	1739.7612939711012
10	fitness	8.734429338077939e-06	3.7871567609438396e-07
10	global_fitness	7.547397657287767e-06	N/A
10	arrived_vehicles	338.6	7.296574538781879
10	non_arrived_vehicles	50.7	6.797793759742936
10	total_trip_time	36928.0	946.6867486132887
10	total_wait_time	24384.3	734.4400656282309
