Iteration	Metric	Value
0	fitness	9.644689633887581e-06
0	global_fitness	9.644689633887581e-06
0	arrived_vehicles	322
0	non_arrived_vehicles	77
0	total_trip_time	37231.0
0	total_wait_time	20193.0
1	fitness	1.0078105316200555e-05
1	global_fitness	9.644689633887581e-06
1	arrived_vehicles	315
1	non_arrived_vehicles	85
1	total_trip_time	37274.0
1	total_wait_time	20747.0
2	fitness	1.2846700325021518e-05
2	global_fitness	9.644689633887581e-06
2	arrived_vehicles	279
2	non_arrived_vehicles	111
2	total_trip_time	37243.0
2	total_wait_time	22166.0
3	fitness	8.499859752314087e-06
3	global_fitness	8.499859752314087e-06
3	arrived_vehicles	343
3	non_arrived_vehicles	57
3	total_trip_time	37051.0
3	total_wait_time	19076.0
4	fitness	8.305027032862993e-06
4	global_fitness	8.305027032862993e-06
4	arrived_vehicles	347
4	non_arrived_vehicles	53
4	total_trip_time	36225.0
4	total_wait_time	18485.0
5	fitness	7.846275765208045e-06
5	global_fitness	7.846275765208045e-06
5	arrived_vehicles	357
5	non_arrived_vehicles	43
5	total_trip_time	39079.0
5	total_wait_time	20209.0
6	fitness	8.599857242369777e-06
6	global_fitness	7.846275765208045e-06
6	arrived_vehicles	341
6	non_arrived_vehicles	59
6	total_trip_time	37460.0
6	total_wait_time	19626.0
7	fitness	8.857709750566894e-06
7	global_fitness	7.846275765208045e-06
7	arrived_vehicles	336
7	non_arrived_vehicles	64
7	total_trip_time	39524.0
7	total_wait_time	21341.0
8	fitness	7.759095599816886e-06
8	global_fitness	7.759095599816886e-06
8	arrived_vehicles	359
8	non_arrived_vehicles	41
8	total_trip_time	36824.0
8	total_wait_time	17841.0
9	fitness	7.673360394717659e-06
9	global_fitness	7.673360394717659e-06
9	arrived_vehicles	361
9	non_arrived_vehicles	39
9	total_trip_time	39031.0
9	total_wait_time	20195.0
10	fitness	7.465137806443907e-06
10	global_fitness	7.465137806443907e-06
10	arrived_vehicles	366
10	non_arrived_vehicles	34
10	total_trip_time	37156.0
10	total_wait_time	17758.0
11	fitness	7.5060987051979735e-06
11	global_fitness	7.465137806443907e-06
11	arrived_vehicles	365
11	non_arrived_vehicles	35
11	total_trip_time	38857.0
11	total_wait_time	19509.0
12	fitness	7.2652770613407345e-06
12	global_fitness	7.2652770613407345e-06
12	arrived_vehicles	371
12	non_arrived_vehicles	29
12	total_trip_time	39777.0
12	total_wait_time	19899.0
13	fitness	8.025102520684701e-06
13	global_fitness	7.2652770613407345e-06
13	arrived_vehicles	353
13	non_arrived_vehicles	47
13	total_trip_time	37227.0
13	total_wait_time	18237.0
14	fitness	7.465137806443907e-06
14	global_fitness	7.2652770613407345e-06
14	arrived_vehicles	366
14	non_arrived_vehicles	34
14	total_trip_time	38107.0
14	total_wait_time	18513.0
15	fitness	7.547397657287767e-06
15	global_fitness	7.2652770613407345e-06
15	arrived_vehicles	364
15	non_arrived_vehicles	36
15	total_trip_time	38110.0
15	total_wait_time	18725.0
16	fitness	7.38421550094518e-06
16	global_fitness	7.2652770613407345e-06
16	arrived_vehicles	368
16	non_arrived_vehicles	32
16	total_trip_time	38697.0
16	total_wait_time	18831.0
17	fitness	7.187574121858132e-06
17	global_fitness	7.187574121858132e-06
17	arrived_vehicles	373
17	non_arrived_vehicles	27
17	total_trip_time	38256.0
17	total_wait_time	18314.0
18	fitness	7.149189281935428e-06
18	global_fitness	7.149189281935428e-06
18	arrived_vehicles	374
18	non_arrived_vehicles	26
18	total_trip_time	39467.0
18	total_wait_time	19304.0
19	fitness	7.226268932824604e-06
19	global_fitness	7.149189281935428e-06
19	arrived_vehicles	372
19	non_arrived_vehicles	28
19	total_trip_time	38469.0
19	total_wait_time	18657.0
20	fitness	7.111111111111111e-06
20	global_fitness	7.111111111111111e-06
20	arrived_vehicles	375
20	non_arrived_vehicles	25
20	total_trip_time	37292.0
20	total_wait_time	16990.0
21	fitness	7.226268932824604e-06
21	global_fitness	7.111111111111111e-06
21	arrived_vehicles	372
21	non_arrived_vehicles	28
21	total_trip_time	39214.0
21	total_wait_time	19373.0
22	fitness	7.4245112815448925e-06
22	global_fitness	7.111111111111111e-06
22	arrived_vehicles	367
22	non_arrived_vehicles	33
22	total_trip_time	37378.0
22	total_wait_time	17711.0
23	fitness	7.0733363512901765e-06
23	global_fitness	7.0733363512901765e-06
23	arrived_vehicles	376
23	non_arrived_vehicles	24
23	total_trip_time	37400.0
23	total_wait_time	17068.0
24	fitness	7.226268932824604e-06
24	global_fitness	7.0733363512901765e-06
24	arrived_vehicles	372
24	non_arrived_vehicles	28
24	total_trip_time	38725.0
24	total_wait_time	18757.0
25	fitness	7.149189281935428e-06
25	global_fitness	7.0733363512901765e-06
25	arrived_vehicles	374
25	non_arrived_vehicles	26
25	total_trip_time	39174.0
25	total_wait_time	19331.0
26	fitness	7.035861787531046e-06
26	global_fitness	7.035861787531046e-06
26	arrived_vehicles	377
26	non_arrived_vehicles	23
26	total_trip_time	38231.0
26	total_wait_time	17716.0
27	fitness	7.149189281935428e-06
27	global_fitness	7.035861787531046e-06
27	arrived_vehicles	374
27	non_arrived_vehicles	26
27	total_trip_time	38072.0
27	total_wait_time	17782.0
28	fitness	7.38421550094518e-06
28	global_fitness	7.035861787531046e-06
28	arrived_vehicles	368
28	non_arrived_vehicles	32
28	total_trip_time	37587.0
28	total_wait_time	17796.0
29	fitness	7.111111111111111e-06
29	global_fitness	7.035861787531046e-06
29	arrived_vehicles	375
29	non_arrived_vehicles	25
29	total_trip_time	38848.0
29	total_wait_time	18442.0
30	fitness	7.149189281935428e-06
30	global_fitness	7.035861787531046e-06
30	arrived_vehicles	374
30	non_arrived_vehicles	26
30	total_trip_time	37618.0
30	total_wait_time	17444.0
31	fitness	7.111111111111111e-06
31	global_fitness	7.035861787531046e-06
31	arrived_vehicles	375
31	non_arrived_vehicles	25
31	total_trip_time	38832.0
31	total_wait_time	18505.0
32	fitness	7.226268932824604e-06
32	global_fitness	7.035861787531046e-06
32	arrived_vehicles	372
32	non_arrived_vehicles	28
