Iteration	Metric	Value
0	fitness	0.982353515625
0	global_fitness	0.982353515625
0	arrived_vehicles	320
0	non_arrived_vehicles	80
0	total_trip_time	38928.0
0	total_wait_time	21665.0
1	fitness	1.2193579072532699
1	global_fitness	0.982353515625
1	arrived_vehicles	290
1	non_arrived_vehicles	99
1	total_trip_time	34145.0
1	total_wait_time	18903.0
2	fitness	0.9703125
2	global_fitness	0.9703125
2	arrived_vehicles	320
2	non_arrived_vehicles	78
2	total_trip_time	38655.0
2	total_wait_time	21705.0
3	fitness	0.8028450963718821
3	global_fitness	0.8028450963718821
3	arrived_vehicles	336
3	non_arrived_vehicles	64
3	total_trip_time	38418.0
3	total_wait_time	20220.0
4	fitness	0.8028362386621315
4	global_fitness	0.8028362386621315
4	arrived_vehicles	336
4	non_arrived_vehicles	61
4	total_trip_time	39166.0
4	total_wait_time	20971.0
5	fitness	0.8258515719551741
5	global_fitness	0.8028362386621315
5	arrived_vehicles	329
5	non_arrived_vehicles	71
5	total_trip_time	35565.0
5	total_wait_time	18326.0
6	fitness	0.7701045179582456
6	global_fitness	0.7701045179582456
6	arrived_vehicles	337
6	non_arrived_vehicles	63
6	total_trip_time	36888.0
6	total_wait_time	19072.0
7	fitness	0.8111572797212948
7	global_fitness	0.7701045179582456
7	arrived_vehicles	332
7	non_arrived_vehicles	68
7	total_trip_time	36293.0
7	total_wait_time	19116.0
8	fitness	0.6118387829819467
8	global_fitness	0.6118387829819467
8	arrived_vehicles	356
8	non_arrived_vehicles	44
8	total_trip_time	37294.0
8	total_wait_time	18248.0
9	fitness	0.7534662651867932
9	global_fitness	0.6118387829819467
9	arrived_vehicles	338
9	non_arrived_vehicles	62
9	total_trip_time	36212.0
9	total_wait_time	18867.0
10	fitness	0.5825760777683855
10	global_fitness	0.5825760777683855
10	arrived_vehicles	364
10	non_arrived_vehicles	36
10	total_trip_time	39452.0
10	total_wait_time	19737.0
11	fitness	0.645132750545856
11	global_fitness	0.5825760777683855
11	arrived_vehicles	351
11	non_arrived_vehicles	49
11	total_trip_time	36820.0
11	total_wait_time	18161.0
12	fitness	0.679813794632228
12	global_fitness	0.5825760777683855
12	arrived_vehicles	349
12	non_arrived_vehicles	51
12	total_trip_time	37766.0
12	total_wait_time	19536.0
13	fitness	0.6871345517725284
13	global_fitness	0.5825760777683855
13	arrived_vehicles	346
13	non_arrived_vehicles	54
13	total_trip_time	36809.0
13	total_wait_time	18452.0
14	fitness	0.5865056284098495
14	global_fitness	0.5825760777683855
14	arrived_vehicles	361
14	non_arrived_vehicles	39
14	total_trip_time	38115.0
14	total_wait_time	18819.0
15	fitness	0.6078473618691946
15	global_fitness	0.5825760777683855
15	arrived_vehicles	354
15	non_arrived_vehicles	46
15	total_trip_time	35994.0
15	total_wait_time	17179.0
16	fitness	0.5700050846557233
16	global_fitness	0.5700050846557233
16	arrived_vehicles	363
16	non_arrived_vehicles	37
16	total_trip_time	37970.0
16	total_wait_time	18639.0
17	fitness	0.5619455258824154
17	global_fitness	0.5619455258824154
17	arrived_vehicles	363
17	non_arrived_vehicles	37
17	total_trip_time	37391.0
17	total_wait_time	18156.0
18	fitness	0.5605404391067742
18	global_fitness	0.5605404391067742
18	arrived_vehicles	365
18	non_arrived_vehicles	35
18	total_trip_time	38385.0
18	total_wait_time	18793.0
19	fitness	0.5252909380907372
19	global_fitness	0.5252909380907372
19	arrived_vehicles	368
19	non_arrived_vehicles	32
19	total_trip_time	37325.0
19	total_wait_time	17812.0
20	fitness	0.5437042597110152
20	global_fitness	0.5252909380907372
20	arrived_vehicles	365
20	non_arrived_vehicles	35
20	total_trip_time	37180.0
20	total_wait_time	17755.0
21	fitness	0.4896881142328593
21	global_fitness	0.4896881142328593
21	arrived_vehicles	372
21	non_arrived_vehicles	28
21	total_trip_time	36764.0
21	total_wait_time	17001.0
22	fitness	0.508290723155588
22	global_fitness	0.4896881142328593
22	arrived_vehicles	370
22	non_arrived_vehicles	30
22	total_trip_time	37086.0
22	total_wait_time	17499.0
23	fitness	0.46512675105010237
23	global_fitness	0.46512675105010237
23	arrived_vehicles	377
23	non_arrived_vehicles	23
23	total_trip_time	37362.0
23	total_wait_time	17246.0
24	fitness	0.47211024327426443
24	global_fitness	0.46512675105010237
24	arrived_vehicles	378
24	non_arrived_vehicles	22
24	total_trip_time	38242.0
24	total_wait_time	18215.0
25	fitness	0.5062683147156675
25	global_fitness	0.46512675105010237
25	arrived_vehicles	369
25	non_arrived_vehicles	31
25	total_trip_time	36451.0
25	total_wait_time	16983.0
26	fitness	0.5101313885767584
26	global_fitness	0.46512675105010237
26	arrived_vehicles	369
26	non_arrived_vehicles	31
26	total_trip_time	36735.0
26	total_wait_time	17225.0
27	fitness	0.48770811654526536
27	global_fitness	0.46512675105010237
27	arrived_vehicles	372
27	non_arrived_vehicles	28
27	total_trip_time	36562.0
27	total_wait_time	16929.0
28	fitness	0.4779090051188195
28	global_fitness	0.46512675105010237
28	arrived_vehicles	374
28	non_arrived_vehicles	26
28	total_trip_time	36887.0
28	total_wait_time	16961.0
29	fitness	0.5198568554224918
29	global_fitness	0.46512675105010237
29	arrived_vehicles	367
29	non_arrived_vehicles	33
29	total_trip_time	36427.0
29	total_wait_time	17092.0
30	fitness	0.5199299976370511
30	global_fitness	0.46512675105010237
30	arrived_vehicles	368
30	non_arrived_vehicles	32
30	total_trip_time	36854.0
30	total_wait_time	17557.0
31	fitness	0.5117277314939234
31	global_fitness	0.46512675105010237
31	arrived_vehicles	366
31	non_arrived_vehicles	34
31	total_trip_time	35389.0
31	total_wait_time	16160.0
32	fitness	0.48119002196785754
32	global_fitness	0.46512675105010237
32	arrived_vehicles	372
32	non_arrived_vehicles	28
32	total_trip_time	36116.0
32	total_wait_time	16473.0
33	fitness	0.4966181061394381
33	global_fitness	0.46512675105010237
33	arrived_vehicles	372
33	non_arrived_vehicles	28
33	total_trip_time	37138.0
33	total_wait_time	17586.0
34	fitness	0.4477969382000961
34	global_fitness	0.4477969382000961
34	arrived_vehicles	379
34	non_arrived_vehicles	21
34	total_trip_time	36929.0
34	total_wait_time	16893.0
35	fitness	0.5089108623157345
35	global_fitness	0.4477969382000961
35	arrived_vehicles	371
35	non_arrived_vehicles	29
35	total_trip_time	37612.0
35	total_wait_time	17935.0
36	fitness	0.45973024505906607
36	global_fitness	0.4477969382000961
36	arrived_vehicles	377
36	non_arrived_vehicles	23
36	total_trip_time	36784.0
36	total_wait_time	17057.0
37	fitness	0.4497740895705265
37	global_fitness	0.4477969382000961
37	arrived_vehicles	379
37	non_arrived_vehicles	21
37	total_trip_time	37038.0
37	total_wait_time	17068.0
38	fitness	0.48721848121321865
38	global_fitness	0.4477969382000961
38	arrived_vehicles	376
38	non_arrived_vehicles	24
38	total_trip_time	38393.0
38	total_wait_time	18488.0
39	fitness	0.5006208911614317
39	global_fitness	0.4477969382000961
39	arrived_vehicles	370
39	non_arrived_vehicles	30
39	total_trip_time	36455.0
39	total_wait_time	17080.0
40	fitness	0.668586534084941
40	global_fitness	0.4477969382000961
40	arrived_vehicles	338
40	non_arrived_vehicles	52
40	total_trip_time	33786.0
40	total_wait_time	16596.0
