Iteration	Metric	Value
0	fitness	0.9783829750812701
0	global_fitness	0.9783829750812701
0	arrived_vehicles	320
0	non_arrived_vehicles	80
0	total_trip_time	38928.0
0	total_wait_time	21665.0
1	fitness	1.5154167553002025
1	global_fitness	0.9783829750812701
1	arrived_vehicles	258
1	non_arrived_vehicles	105
1	total_trip_time	31176.0
1	total_wait_time	17722.0
2	fitness	0.9423618227899975
2	global_fitness	0.9423618227899975
2	arrived_vehicles	321
2	non_arrived_vehicles	76
2	total_trip_time	38516.0
2	total_wait_time	20986.0
3	fitness	0.7810517858243325
3	global_fitness	0.7810517858243325
3	arrived_vehicles	338
3	non_arrived_vehicles	62
3	total_trip_time	38353.0
3	total_wait_time	20210.0
4	fitness	0.7668546741238182
4	global_fitness	0.7668546741238182
4	arrived_vehicles	337
4	non_arrived_vehicles	63
4	total_trip_time	36862.0
4	total_wait_time	19075.0
5	fitness	0.8481806233455303
5	global_fitness	0.7668546741238182
5	arrived_vehicles	328
5	non_arrived_vehicles	70
5	total_trip_time	36956.0
5	total_wait_time	19682.0
6	fitness	0.8238373430240582
6	global_fitness	0.7668546741238182
6	arrived_vehicles	329
6	non_arrived_vehicles	71
6	total_trip_time	35602.0
6	total_wait_time	18445.0
7	fitness	0.722731916055149
7	global_fitness	0.722731916055149
7	arrived_vehicles	347
7	non_arrived_vehicles	53
7	total_trip_time	39761.0
7	total_wait_time	21115.0
8	fitness	0.7411755897498469
8	global_fitness	0.722731916055149
8	arrived_vehicles	346
8	non_arrived_vehicles	54
8	total_trip_time	40428.0
8	total_wait_time	21666.0
9	fitness	0.6414329644167954
9	global_fitness	0.6414329644167954
9	arrived_vehicles	359
9	non_arrived_vehicles	41
9	total_trip_time	41135.0
9	total_wait_time	21349.0
10	fitness	0.6050315321446396
10	global_fitness	0.6050315321446396
10	arrived_vehicles	363
10	non_arrived_vehicles	37
10	total_trip_time	40486.0
10	total_wait_time	21027.0
11	fitness	0.6414329644167954
11	global_fitness	0.6050315321446396
11	arrived_vehicles	359
11	non_arrived_vehicles	41
11	total_trip_time	41135.0
11	total_wait_time	21349.0
12	fitness	0.5996776248455754
12	global_fitness	0.5996776248455754
12	arrived_vehicles	365
12	non_arrived_vehicles	35
12	total_trip_time	41227.0
12	total_wait_time	21447.0
13	fitness	0.5490901635267128
13	global_fitness	0.5490901635267128
13	arrived_vehicles	370
13	non_arrived_vehicles	30
13	total_trip_time	40037.0
13	total_wait_time	20396.0
14	fitness	0.5219417229342729
14	global_fitness	0.5219417229342729
14	arrived_vehicles	376
14	non_arrived_vehicles	24
14	total_trip_time	41104.0
14	total_wait_time	20937.0
15	fitness	0.5699363291051363
15	global_fitness	0.5219417229342729
15	arrived_vehicles	366
15	non_arrived_vehicles	34
15	total_trip_time	39639.0
15	total_wait_time	19984.0
16	fitness	0.5300292108998318
16	global_fitness	0.5219417229342729
16	arrived_vehicles	373
16	non_arrived_vehicles	27
