Iteration	Metric	Value
0	fitness	0.16850438522516445
0	global_fitness	0.16850438522516445
0	arrived_vehicles	308
0	non_arrived_vehicles	67
0	total_trip_time	31907.0
0	total_wait_time	15985.0
1	fitness	0.2561121630652707
1	global_fitness	0.16850438522516445
1	arrived_vehicles	268
1	non_arrived_vehicles	103
1	total_trip_time	32157.0
1	total_wait_time	18395.0
2	fitness	0.1681421246595097
2	global_fitness	0.1681421246595097
2	arrived_vehicles	316
2	non_arrived_vehicles	51
2	total_trip_time	33522.0
2	total_wait_time	16790.0
3	fitness	0.16636666666666666
3	global_fitness	0.16636666666666666
3	arrived_vehicles	300
3	non_arrived_vehicles	67
3	total_trip_time	30352.0
3	total_wait_time	14973.0
4	fitness	0.1643777777777778
4	global_fitness	0.1643777777777778
4	arrived_vehicles	300
4	non_arrived_vehicles	74
4	total_trip_time	30040.0
4	total_wait_time	14794.0
5	fitness	0.1631328572532312
5	global_fitness	0.1631328572532312
5	arrived_vehicles	301
5	non_arrived_vehicles	81
5	total_trip_time	29907.0
5	total_wait_time	14780.0
6	fitness	0.15793964620187304
6	global_fitness	0.15793964620187304
6	arrived_vehicles	310
6	non_arrived_vehicles	59
6	total_trip_time	31049.0
6	total_wait_time	15178.0
7	fitness	0.15313690330931892
7	global_fitness	0.15313690330931892
7	arrived_vehicles	307
7	non_arrived_vehicles	60
7	total_trip_time	30171.0
7	total_wait_time	14433.0
8	fitness	0.16075882820102683
8	global_fitness	0.15313690330931892
8	arrived_vehicles	299
8	non_arrived_vehicles	66
8	total_trip_time	29905.0
8	total_wait_time	14372.0
9	fitness	0.1518318496747976
9	global_fitness	0.1518318496747976
9	arrived_vehicles	307
9	non_arrived_vehicles	68
9	total_trip_time	30416.0
9	total_wait_time	14310.0
10	fitness	0.1496391715746818
10	global_fitness	0.1496391715746818
10	arrived_vehicles	313
10	non_arrived_vehicles	62
10	total_trip_time	30406.0
10	total_wait_time	14660.0
11	fitness	0.15094240175409007
11	global_fitness	0.1496391715746818
11	arrived_vehicles	308
11	non_arrived_vehicles	64
11	total_trip_time	30261.0
11	total_wait_time	14319.0
