Iteration	Metric	Mean	Std
0	fitness	0.30259893376606317	0.08218955946225502
0	global_fitness	0.19700124947938358	N/A
0	arrived_vehicles	309.1	23.725302948539984
0	non_arrived_vehicles	75.3	17.720327310746832
0	total_trip_time	33344.1	2920.791620434433
0	total_wait_time	27895.5	3393.442507248355
1	fitness	0.46709162475895305	0.16282074880650882
1	global_fitness	0.19700124947938358	N/A
1	arrived_vehicles	278.1	30.79431765764587
1	non_arrived_vehicles	97.0	26.829088691194862
1	total_trip_time	31262.8	2621.6189578197664
1	total_wait_time	33780.5	5319.220248307077
2	fitness	0.3034972667657777	0.15410992004967422
2	global_fitness	0.13075062245359892	N/A
2	arrived_vehicles	317.9	35.56810368855782
2	non_arrived_vehicles	69.2	28.964806231010765
2	total_trip_time	34602.3	3181.0722736209564
2	total_wait_time	27870.9	6063.790323716677
3	fitness	0.20672761156468505	0.036019362375288924
3	global_fitness	0.12967914438502673	N/A
3	arrived_vehicles	340.9	13.974619851716897
3	non_arrived_vehicles	47.8	10.380751417888785
3	total_trip_time	36357.9	1261.2995243002354
3	total_wait_time	23725.4	2485.2972136145004
4	fitness	0.16058187203340393	0.025330856994044006
4	global_fitness	0.12951037656379447	N/A
4	arrived_vehicles	360.5	12.306502346320826
4	non_arrived_vehicles	39.5	12.306502346320826
4	total_trip_time	37262.7	1240.0896782087977
4	total_wait_time	20689.4	1749.869778012067
5	fitness	0.15321070304123277	0.014689430941013252
5	global_fitness	0.1230495794324922	N/A
5	arrived_vehicles	365.1	7.803204469959761
5	non_arrived_vehicles	34.9	7.803204469959762
5	total_trip_time	37768.0	998.1820475243983
5	total_wait_time	20355.3	1247.3257834262868
6	fitness	0.15839930715155937	0.012663382988405969
6	global_fitness	0.1230495794324922	N/A
6	arrived_vehicles	363.7	6.261788881781308
6	non_arrived_vehicles	36.3	6.261788881781308
6	total_trip_time	37953.2	971.0116168203137
6	total_wait_time	20907.4	1066.394317314191
7	fitness	0.15117877856252956	0.016939680641453812
7	global_fitness	0.1230495794324922	N/A
7	arrived_vehicles	366.4	9.820386957752733
7	non_arrived_vehicles	33.6	9.820386957752735
7	total_trip_time	37829.5	792.579238940814
7	total_wait_time	20195.3	1149.9203494155583
8	fitness	0.15401566318721727	0.016085964253778735
8	global_fitness	0.1230495794324922	N/A
8	arrived_vehicles	365.8	6.982836100038437
8	non_arrived_vehicles	34.2	6.982836100038437
8	total_trip_time	38095.1	640.0142889029901
8	total_wait_time	20540.0	1399.6973958681212
9	fitness	0.14571823557551403	0.012055245664500338
9	global_fitness	0.1230495794324922	N/A
9	arrived_vehicles	365.6	7.8
9	non_arrived_vehicles	34.4	7.800000000000001
9	total_trip_time	36759.4	1569.4561605855704
9	total_wait_time	19430.6	1013.1143272109027
10	fitness	0.13324589236262122	0.003437191062473076
10	global_fitness	0.1230495794324922	N/A
10	arrived_vehicles	372.0	3.5777087639996634
10	non_arrived_vehicles	28.0	3.5777087639996634
10	total_trip_time	36817.5	786.0135176954656
10	total_wait_time	18437.0	457.7508055700175
