Iteration	Metric	Mean	Std
0	fitness	13.882217400898515	6.716936832200692
0	global_fitness	4.26655560183257	N/A
0	arrived_vehicles	33.7	9.077995373429092
0	non_arrived_vehicles	63.6	14.333178293735134
0	total_trip_time	7929.3	2601.728235231343
0	total_wait_time	12815.2	2007.912786950668
1	fitness	22.330461050434746	12.673755224742882
1	global_fitness	4.26655560183257	N/A
1	arrived_vehicles	29.5	8.99166280506559
1	non_arrived_vehicles	70.5	11.91007976463634
1	total_trip_time	8130.4	2331.855321412544
1	total_wait_time	14808.8	1247.2027742111545
2	fitness	10.573569861090117	9.35222890465194
2	global_fitness	4.0405838376646495	N/A
2	arrived_vehicles	37.5	9.002777349240622
2	non_arrived_vehicles	48.1	6.963476143421474
2	total_trip_time	9214.7	2548.8216120395714
2	total_wait_time	11219.9	906.6873165540588
3	fitness	7.717196939823876	2.7271059853414124
3	global_fitness	3.818052930056711	N/A
3	arrived_vehicles	37.4	6.1838499334961226
3	non_arrived_vehicles	48.9	8.178630692236935
3	total_trip_time	8737.5	2144.846020114265
3	total_wait_time	9902.0	1151.1771366735877
4	fitness	8.400018775582215	3.8773175210240627
4	global_fitness	3.672066115702479	N/A
4	arrived_vehicles	37.6	8.16333265278342
4	non_arrived_vehicles	52.6	9.112628599915615
4	total_trip_time	9047.4	2713.5344552815245
4	total_wait_time	10380.0	1366.1467710315756
5	fitness	9.498283422489902	5.816598201138129
5	global_fitness	3.672066115702479	N/A
5	arrived_vehicles	36.2	7.413501197140255
5	non_arrived_vehicles	54.4	5.407402333838309
5	total_trip_time	8377.9	1523.2506983422
5	total_wait_time	10240.9	1317.9932055970546
6	fitness	8.934857495838935	4.914622918361437
6	global_fitness	2.834319526627219	N/A
6	arrived_vehicles	38.4	8.499411744350311
6	non_arrived_vehicles	53.3	9.80866963456309
6	total_trip_time	9563.6	3079.18528835145
6	total_wait_time	11062.9	1676.2683227932214
7	fitness	8.992982218116078	3.96647099274938
7	global_fitness	2.834319526627219	N/A
7	arrived_vehicles	37.6	9.572878355019457
7	non_arrived_vehicles	57.6	10.36532681587995
7	total_trip_time	8823.9	2941.528529523384
7	total_wait_time	10805.8	1577.893202976678
8	fitness	6.9778533893471035	2.7003460708476106
8	global_fitness	2.4518430439952437	N/A
8	arrived_vehicles	40.4	8.06473806146238
8	non_arrived_vehicles	47.2	11.391224692718515
8	total_trip_time	10066.5	1862.632988540684
8	total_wait_time	10093.7	703.343024419806
9	fitness	7.548342670888738	4.723742640306788
9	global_fitness	2.4518430439952437	N/A
9	arrived_vehicles	40.6	8.534635317340747
9	non_arrived_vehicles	45.1	12.086769626331098
9	total_trip_time	9960.4	2105.829869671337
9	total_wait_time	10216.9	1397.99566880588
10	fitness	12.296865196190193	19.567250586163386
10	global_fitness	2.4518430439952437	N/A
10	arrived_vehicles	40.5	12.651086909827155
10	non_arrived_vehicles	43.9	11.911758896149637
10	total_trip_time	9595.2	3161.3802302159097
10	total_wait_time	9528.6	1314.4949752661666
11	fitness	5.386127258321904	1.736244655318507
11	global_fitness	2.4518430439952437	N/A
11	arrived_vehicles	43.4	5.748043145279966
11	non_arrived_vehicles	45.2	8.121576201698781
11	total_trip_time	10079.4	992.1724850044976
11	total_wait_time	9476.5	920.4135211957721
12	fitness	4.760801961924049	2.935741084445636
12	global_fitness	2.1205555555555557	N/A
12	arrived_vehicles	47.4	10.258654882585729
12	non_arrived_vehicles	35.5	10.171037311896953
12	total_trip_time	10604.1	2155.303804571411
12	total_wait_time	8808.3	1018.2054851551331
13	fitness	3.995471418179021	1.6070553258728415
13	global_fitness	2.1205555555555557	N/A
13	arrived_vehicles	50.8	6.273754856543249
13	non_arrived_vehicles	36.9	8.882004278314666
13	total_trip_time	12600.6	1084.6181079071102
13	total_wait_time	9557.5	917.4108403545273
14	fitness	4.81225609245263	2.0522335386821386
14	global_fitness	2.1205555555555557	N/A
14	arrived_vehicles	45.7	7.280796659706959
14	non_arrived_vehicles	36.2	9.184770002564028
14	total_trip_time	10811.4	1563.7723107920795
14	total_wait_time	9034.8	930.5460547442024
15	fitness	4.780259555961299	2.356858365488481
15	global_fitness	2.1205555555555557	N/A
15	arrived_vehicles	47.2	8.715503427800371
15	non_arrived_vehicles	35.8	11.677328461596
15	total_trip_time	11062.9	1547.3119562647992
15	total_wait_time	9193.9	977.4527558915571
16	fitness	7.01142080270945	6.396480069062813
16	global_fitness	2.0752485890889547	N/A
16	arrived_vehicles	44.5	11.689739090330459
16	non_arrived_vehicles	39.4	12.026637102698329
16	total_trip_time	10193.8	2034.2691464012328
16	total_wait_time	9357.6	1797.426170945555
17	fitness	4.395073216070401	4.436254953300637
17	global_fitness	1.8046372819100092	N/A
17	arrived_vehicles	52.9	11.640017182117901
17	non_arrived_vehicles	33.8	15.190786681406594
17	total_trip_time	11842.6	2286.4044786520167
17	total_wait_time	8789.9	1297.3624358674795
18	fitness	4.848846976484838	4.6533644251833275
18	global_fitness	1.8046372819100092	N/A
18	arrived_vehicles	49.2	11.133732527773425
18	non_arrived_vehicles	29.7	5.9506302187247355
18	total_trip_time	11165.1	2068.3405643172014
18	total_wait_time	8457.2	626.1929095733997
19	fitness	5.451628766692661	4.740139719873377
19	global_fitness	1.7362258953168044	N/A
19	arrived_vehicles	46.9	11.785160160133591
19	non_arrived_vehicles	32.9	7.354590403278758
19	total_trip_time	10864.0	1956.2486038333677
19	total_wait_time	8704.2	889.2137875674218
