Iteration	Metric	Value
0	fitness	0.20098491843644198
0	global_fitness	0.20098491843644198
0	arrived_vehicles	399
0	non_arrived_vehicles	478
0	total_trip_time	63721.0
0	total_wait_time	31997.0
1	fitness	0.1983637367538066
1	global_fitness	0.1983637367538066
1	arrived_vehicles	434
1	non_arrived_vehicles	479
1	total_trip_time	72305.0
1	total_wait_time	37363.0
2	fitness	0.2069368296922243
2	global_fitness	0.1983637367538066
2	arrived_vehicles	423
2	non_arrived_vehicles	507
2	total_trip_time	70433.0
2	total_wait_time	37027.0
3	fitness	0.20492999068695797
3	global_fitness	0.1983637367538066
3	arrived_vehicles	431
3	non_arrived_vehicles	532
3	total_trip_time	73187.0
3	total_wait_time	38068.0
4	fitness	0.19513043289267065
4	global_fitness	0.19513043289267065
4	arrived_vehicles	429
4	non_arrived_vehicles	501
4	total_trip_time	70046.0
4	total_wait_time	35912.0
