Iteration	Metric	Value
0	fitness	1.215051775147929
0	global_fitness	1.215051775147929
0	arrived_vehicles	312
0	non_arrived_vehicles	72
0	total_trip_time	53086.0
0	total_wait_time	29192.0
1	fitness	1.2622729238754324
1	global_fitness	1.215051775147929
1	arrived_vehicles	272
1	non_arrived_vehicles	61
1	total_trip_time	39738.0
1	total_wait_time	23150.0
2	fitness	1.0384584539986634
2	global_fitness	1.0384584539986634
2	arrived_vehicles	335
2	non_arrived_vehicles	62
2	total_trip_time	54628.0
2	total_wait_time	30913.0
3	fitness	0.9007053848140496
3	global_fitness	0.9007053848140496
3	arrived_vehicles	352
3	non_arrived_vehicles	48
3	total_trip_time	56762.0
3	total_wait_time	30839.0
4	fitness	1.0414325068870522
4	global_fitness	0.9007053848140496
4	arrived_vehicles	330
4	non_arrived_vehicles	61
4	total_trip_time	53505.0
4	total_wait_time	29407.0
5	fitness	0.8237480963898594
5	global_fitness	0.8237480963898594
5	arrived_vehicles	366
5	non_arrived_vehicles	31
5	total_trip_time	61695.0
5	total_wait_time	33151.0
6	fitness	0.8037834620432832
6	global_fitness	0.8037834620432832
6	arrived_vehicles	362
6	non_arrived_vehicles	33
6	total_trip_time	57951.0
6	total_wait_time	30880.0
7	fitness	0.9502285289115646
7	global_fitness	0.8037834620432832
7	arrived_vehicles	336
7	non_arrived_vehicles	57
7	total_trip_time	51355.0
7	total_wait_time	27422.0
8	fitness	0.7754976961247637
8	global_fitness	0.7754976961247637
8	arrived_vehicles	368
8	non_arrived_vehicles	32
8	total_trip_time	57533.0
8	total_wait_time	31488.0
9	fitness	0.6163224699370363
9	global_fitness	0.6163224699370363
9	arrived_vehicles	387
9	non_arrived_vehicles	13
9	total_trip_time	56663.0
9	total_wait_time	29143.0
10	fitness	0.6963371486614538
10	global_fitness	0.6163224699370363
10	arrived_vehicles	383
10	non_arrived_vehicles	17
10	total_trip_time	60845.0
10	total_wait_time	32800.0
11	fitness	0.6100843398583924
11	global_fitness	0.6100843398583924
11	arrived_vehicles	392
11	non_arrived_vehicles	8
11	total_trip_time	59365.0
11	total_wait_time	30383.0
12	fitness	0.6261275109398814
12	global_fitness	0.6100843398583924
12	arrived_vehicles	391
12	non_arrived_vehicles	9
12	total_trip_time	59967.0
12	total_wait_time	31256.0
13	fitness	0.6327942143326759
13	global_fitness	0.6100843398583924
13	arrived_vehicles	390
13	non_arrived_vehicles	10
13	total_trip_time	59639.0
13	total_wait_time	31609.0
14	fitness	0.5868033968915238
14	global_fitness	0.5868033968915238
14	arrived_vehicles	395
14	non_arrived_vehicles	5
14	total_trip_time	58280.0
14	total_wait_time	30776.0
15	fitness	0.5860471078352828
15	global_fitness	0.5860471078352828
15	arrived_vehicles	395
15	non_arrived_vehicles	5
15	total_trip_time	59060.0
15	total_wait_time	29878.0
16	fitness	0.605153020349303
16	global_fitness	0.5860471078352828
16	arrived_vehicles	395
16	non_arrived_vehicles	5
16	total_trip_time	60526.0
16	total_wait_time	31393.0
17	fitness	0.5932554144106622
17	global_fitness	0.5860471078352828
17	arrived_vehicles	392
17	non_arrived_vehicles	8
17	total_trip_time	57572.0
17	total_wait_time	29590.0
18	fitness	0.6258915556018325
18	global_fitness	0.5860471078352828
18	arrived_vehicles	392
18	non_arrived_vehicles	8
18	total_trip_time	60471.0
18	total_wait_time	31706.0
19	fitness	0.5591283448165358
19	global_fitness	0.5591283448165358
19	arrived_vehicles	395
19	non_arrived_vehicles	5
19	total_trip_time	56553.0
19	total_wait_time	28185.0
20	fitness	0.6813121638295987
20	global_fitness	0.5591283448165358
20	arrived_vehicles	383
20	non_arrived_vehicles	17
20	total_trip_time	59859.0
20	total_wait_time	31582.0
21	fitness	0.6150432111620159
21	global_fitness	0.5591283448165358
21	arrived_vehicles	392
21	non_arrived_vehicles	8
21	total_trip_time	59009.0
21	total_wait_time	31501.0
22	fitness	0.5909907330279051
22	global_fitness	0.5591283448165358
22	arrived_vehicles	392
22	non_arrived_vehicles	8
22	total_trip_time	57594.0
22	total_wait_time	29220.0
23	fitness	0.6207823800131492
23	global_fitness	0.5591283448165358
23	arrived_vehicles	390
23	non_arrived_vehicles	10
23	total_trip_time	58624.0
23	total_wait_time	30797.0
24	fitness	0.6247136609745939
24	global_fitness	0.5591283448165358
24	arrived_vehicles	392
24	non_arrived_vehicles	8
24	total_trip_time	60006.0
24	total_wait_time	31990.0
25	fitness	0.6726959112996322
25	global_fitness	0.5591283448165358
25	arrived_vehicles	386
25	non_arrived_vehicles	14
25	total_trip_time	60606.0
25	total_wait_time	32623.0
26	fitness	0.5953451518977557
26	global_fitness	0.5591283448165358
26	arrived_vehicles	394
26	non_arrived_vehicles	6
26	total_trip_time	58931.0
26	total_wait_time	30488.0
