Iteration	Metric	Value
0	fitness	0.29582639714625447
0	global_fitness	0.29582639714625447
0	arrived_vehicles	290
0	non_arrived_vehicles	75
0	total_trip_time	43558.0
0	total_wait_time	24879.0
1	fitness	0.29414164734448545
1	global_fitness	0.29414164734448545
1	arrived_vehicles	317
1	non_arrived_vehicles	66
1	total_trip_time	51529.0
1	total_wait_time	29558.0
2	fitness	0.286706223961621
2	global_fitness	0.286706223961621
2	arrived_vehicles	267
2	non_arrived_vehicles	94
2	total_trip_time	38264.0
2	total_wait_time	20439.0
3	fitness	0.3029861899632185
3	global_fitness	0.286706223961621
3	arrived_vehicles	321
3	non_arrived_vehicles	70
3	total_trip_time	55290.0
3	total_wait_time	31220.0
4	fitness	0.30719935032836665
4	global_fitness	0.286706223961621
4	arrived_vehicles	238
4	non_arrived_vehicles	113
4	total_trip_time	33756.0
4	total_wait_time	17401.0
5	fitness	0.26247427011132113
5	global_fitness	0.26247427011132113
5	arrived_vehicles	345
5	non_arrived_vehicles	51
5	total_trip_time	55870.0
5	total_wait_time	31241.0
6	fitness	0.27590976919474125
6	global_fitness	0.26247427011132113
6	arrived_vehicles	303
6	non_arrived_vehicles	61
6	total_trip_time	46553.0
6	total_wait_time	25331.0
7	fitness	0.284227947377298
7	global_fitness	0.26247427011132113
7	arrived_vehicles	308
7	non_arrived_vehicles	63
7	total_trip_time	49054.0
7	total_wait_time	26963.0
8	fitness	0.2546282996584634
8	global_fitness	0.2546282996584634
8	arrived_vehicles	354
8	non_arrived_vehicles	44
8	total_trip_time	58062.0
8	total_wait_time	31909.0
9	fitness	0.26079268933160604
9	global_fitness	0.2546282996584634
9	arrived_vehicles	338
9	non_arrived_vehicles	47
9	total_trip_time	53577.0
9	total_wait_time	29794.0
10	fitness	0.24725991787711277
10	global_fitness	0.24725991787711277
10	arrived_vehicles	307
10	non_arrived_vehicles	84
10	total_trip_time	45418.0
10	total_wait_time	23304.0
11	fitness	0.26279819157312034
11	global_fitness	0.24725991787711277
11	arrived_vehicles	351
11	non_arrived_vehicles	41
11	total_trip_time	57778.0
11	total_wait_time	32377.0
12	fitness	0.2871225334290893
12	global_fitness	0.24725991787711277
12	arrived_vehicles	342
12	non_arrived_vehicles	49
12	total_trip_time	58557.0
12	total_wait_time	33583.0
13	fitness	0.25975235161545757
13	global_fitness	0.24725991787711277
13	arrived_vehicles	339
13	non_arrived_vehicles	45
13	total_trip_time	55700.0
13	total_wait_time	29851.0
14	fitness	0.2752084590604255
14	global_fitness	0.24725991787711277
14	arrived_vehicles	343
14	non_arrived_vehicles	40
14	total_trip_time	57817.0
14	total_wait_time	32378.0
15	fitness	0.2344053271223387
15	global_fitness	0.2344053271223387
15	arrived_vehicles	366
15	non_arrived_vehicles	34
15	total_trip_time	58550.0
15	total_wait_time	31400.0
16	fitness	0.29164780443639654
16	global_fitness	0.2344053271223387
16	arrived_vehicles	282
16	non_arrived_vehicles	72
16	total_trip_time	40255.0
16	total_wait_time	23193.0
17	fitness	0.2608800327424183
17	global_fitness	0.2344053271223387
17	arrived_vehicles	353
17	non_arrived_vehicles	38
17	total_trip_time	59559.0
17	total_wait_time	32508.0
18	fitness	0.2653981280102845
18	global_fitness	0.2344053271223387
18	arrived_vehicles	337
18	non_arrived_vehicles	48
18	total_trip_time	55227.0
18	total_wait_time	30141.0
19	fitness	0.2796467703018077
19	global_fitness	0.2344053271223387
19	arrived_vehicles	318
19	non_arrived_vehicles	54
19	total_trip_time	49084.0
19	total_wait_time	28279.0
20	fitness	0.2596037799361253
20	global_fitness	0.2344053271223387
20	arrived_vehicles	349
20	non_arrived_vehicles	49
20	total_trip_time	57666.0
20	total_wait_time	31620.0
21	fitness	0.22983822222222222
21	global_fitness	0.22983822222222222
21	arrived_vehicles	375
21	non_arrived_vehicles	25
21	total_trip_time	61148.0
21	total_wait_time	32321.0
22	fitness	0.25187109492465504
22	global_fitness	0.22983822222222222
22	arrived_vehicles	346
22	non_arrived_vehicles	50
22	total_trip_time	53373.0
22	total_wait_time	30153.0
23	fitness	0.25252675386444706
23	global_fitness	0.22983822222222222
23	arrived_vehicles	348
23	non_arrived_vehicles	37
23	total_trip_time	57371.0
23	total_wait_time	30582.0
24	fitness	0.24963420824748425
24	global_fitness	0.22983822222222222
24	arrived_vehicles	366
24	non_arrived_vehicles	34
24	total_trip_time	61273.0
24	total_wait_time	33440.0
25	fitness	0.26702778528934557
25	global_fitness	0.22983822222222222
25	arrived_vehicles	344
25	non_arrived_vehicles	42
25	total_trip_time	58300.0
25	total_wait_time	31599.0
26	fitness	0.2320891161431702
26	global_fitness	0.22983822222222222
26	arrived_vehicles	370
26	non_arrived_vehicles	29
26	total_trip_time	59995.0
26	total_wait_time	31773.0
27	fitness	0.2600830135484376
27	global_fitness	0.22983822222222222
27	arrived_vehicles	339
27	non_arrived_vehicles	47
27	total_trip_time	54724.0
27	total_wait_time	29889.0
28	fitness	0.2274422968662038
28	global_fitness	0.2274422968662038
28	arrived_vehicles	365
28	non_arrived_vehicles	35
28	total_trip_time	57580.0
28	total_wait_time	30301.0
29	fitness	0.23774939477418816
29	global_fitness	0.2274422968662038
29	arrived_vehicles	363
29	non_arrived_vehicles	37
29	total_trip_time	57367.0
29	total_wait_time	31328.0
30	fitness	0.22591052882058174
30	global_fitness	0.22591052882058174
30	arrived_vehicles	378
30	non_arrived_vehicles	22
30	total_trip_time	61549.0
30	total_wait_time	32279.0
31	fitness	0.24334527819768112
31	global_fitness	0.22591052882058174
31	arrived_vehicles	361
31	non_arrived_vehicles	39
31	total_trip_time	57650.0
31	total_wait_time	31713.0
