Iteration	Metric	Value
0	fitness	0.006535947712418301
0	global_fitness	0.006535947712418301
0	arrived_vehicles	153
0	non_arrived_vehicles	14
0	total_trip_time	6151.0
0	total_wait_time	356.0
1	fitness	0.0064516129032258064
1	global_fitness	0.0064516129032258064
1	arrived_vehicles	155
1	non_arrived_vehicles	12
1	total_trip_time	5288.0
1	total_wait_time	119.0
2	fitness	0.00625
2	global_fitness	0.00625
2	arrived_vehicles	160
2	non_arrived_vehicles	8
2	total_trip_time	5356.0
2	total_wait_time	80.0
3	fitness	0.006329113924050633
3	global_fitness	0.00625
3	arrived_vehicles	158
3	non_arrived_vehicles	9
3	total_trip_time	5361.0
3	total_wait_time	85.0
4	fitness	0.00625
4	global_fitness	0.00625
4	arrived_vehicles	160
4	non_arrived_vehicles	8
4	total_trip_time	5356.0
4	total_wait_time	80.0
5	fitness	0.006289308176100629
5	global_fitness	0.00625
5	arrived_vehicles	159
5	non_arrived_vehicles	8
5	total_trip_time	5467.0
5	total_wait_time	74.0
6	fitness	0.006329113924050633
6	global_fitness	0.00625
6	arrived_vehicles	158
6	non_arrived_vehicles	9
6	total_trip_time	5361.0
6	total_wait_time	85.0
7	fitness	0.006289308176100629
7	global_fitness	0.00625
7	arrived_vehicles	159
7	non_arrived_vehicles	8
7	total_trip_time	5467.0
7	total_wait_time	74.0
8	fitness	0.006289308176100629
8	global_fitness	0.00625
8	arrived_vehicles	159
8	non_arrived_vehicles	8
8	total_trip_time	5467.0
8	total_wait_time	74.0
9	fitness	0.00625
9	global_fitness	0.00625
9	arrived_vehicles	160
9	non_arrived_vehicles	8
9	total_trip_time	5356.0
9	total_wait_time	80.0
10	fitness	0.00625
10	global_fitness	0.00625
10	arrived_vehicles	160
10	non_arrived_vehicles	8
10	total_trip_time	5356.0
10	total_wait_time	80.0
11	fitness	0.00625
11	global_fitness	0.00625
11	arrived_vehicles	160
11	non_arrived_vehicles	8
11	total_trip_time	5356.0
11	total_wait_time	80.0
12	fitness	0.00625
12	global_fitness	0.00625
12	arrived_vehicles	160
12	non_arrived_vehicles	8
12	total_trip_time	5356.0
12	total_wait_time	80.0
13	fitness	0.006329113924050633
13	global_fitness	0.00625
13	arrived_vehicles	158
13	non_arrived_vehicles	9
13	total_trip_time	5361.0
13	total_wait_time	85.0
14	fitness	0.006329113924050633
14	global_fitness	0.00625
14	arrived_vehicles	158
14	non_arrived_vehicles	9
14	total_trip_time	5361.0
14	total_wait_time	85.0
15	fitness	0.006289308176100629
15	global_fitness	0.00625
15	arrived_vehicles	159
15	non_arrived_vehicles	8
15	total_trip_time	5467.0
15	total_wait_time	74.0
16	fitness	0.006329113924050633
16	global_fitness	0.00625
16	arrived_vehicles	158
16	non_arrived_vehicles	9
16	total_trip_time	5361.0
16	total_wait_time	85.0
17	fitness	0.006289308176100629
17	global_fitness	0.00625
17	arrived_vehicles	159
17	non_arrived_vehicles	8
17	total_trip_time	5467.0
17	total_wait_time	74.0
18	fitness	0.006329113924050633
18	global_fitness	0.00625
18	arrived_vehicles	158
18	non_arrived_vehicles	9
18	total_trip_time	5361.0
18	total_wait_time	85.0
19	fitness	0.006329113924050633
19	global_fitness	0.00625
19	arrived_vehicles	158
19	non_arrived_vehicles	9
19	total_trip_time	5361.0
19	total_wait_time	85.0
20	fitness	0.006289308176100629
20	global_fitness	0.00625
20	arrived_vehicles	159
20	non_arrived_vehicles	8
20	total_trip_time	5467.0
20	total_wait_time	74.0
21	fitness	0.006329113924050633
21	global_fitness	0.00625
21	arrived_vehicles	158
21	non_arrived_vehicles	9
21	total_trip_time	5361.0
21	total_wait_time	85.0
22	fitness	0.006369426751592357
22	global_fitness	0.00625
22	arrived_vehicles	157
22	non_arrived_vehicles	10
22	total_trip_time	5203.0
22	total_wait_time	63.0
23	fitness	0.00641025641025641
23	global_fitness	0.00625
23	arrived_vehicles	156
23	non_arrived_vehicles	10
23	total_trip_time	5334.0
23	total_wait_time	89.0
24	fitness	0.00625
24	global_fitness	0.00625
24	arrived_vehicles	160
24	non_arrived_vehicles	8
24	total_trip_time	5356.0
24	total_wait_time	80.0
25	fitness	0.006329113924050633
25	global_fitness	0.00625
25	arrived_vehicles	158
25	non_arrived_vehicles	9
25	total_trip_time	5361.0
25	total_wait_time	85.0
26	fitness	0.006329113924050633
26	global_fitness	0.00625
26	arrived_vehicles	158
26	non_arrived_vehicles	9
26	total_trip_time	5361.0
26	total_wait_time	85.0
27	fitness	0.006329113924050633
27	global_fitness	0.00625
27	arrived_vehicles	158
27	non_arrived_vehicles	9
27	total_trip_time	5361.0
27	total_wait_time	85.0
28	fitness	0.006289308176100629
28	global_fitness	0.00625
28	arrived_vehicles	159
28	non_arrived_vehicles	8
28	total_trip_time	5467.0
28	total_wait_time	74.0
29	fitness	0.006329113924050633
29	global_fitness	0.00625
29	arrived_vehicles	158
29	non_arrived_vehicles	9
29	total_trip_time	5361.0
29	total_wait_time	85.0
30	fitness	0.006289308176100629
30	global_fitness	0.00625
30	arrived_vehicles	159
30	non_arrived_vehicles	8
30	total_trip_time	5467.0
30	total_wait_time	74.0
31	fitness	0.00625
31	global_fitness	0.00625
31	arrived_vehicles	160
31	non_arrived_vehicles	8
31	total_trip_time	5356.0
31	total_wait_time	80.0
32	fitness	0.006329113924050633
32	global_fitness	0.00625
32	arrived_vehicles	158
32	non_arrived_vehicles	9
32	total_trip_time	5361.0
32	total_wait_time	85.0
33	fitness	0.006329113924050633
33	global_fitness	0.00625
33	arrived_vehicles	158
33	non_arrived_vehicles	9
33	total_trip_time	5361.0
33	total_wait_time	85.0
34	fitness	0.00625
34	global_fitness	0.00625
34	arrived_vehicles	160
34	non_arrived_vehicles	8
34	total_trip_time	5356.0
34	total_wait_time	80.0
35	fitness	0.00625
35	global_fitness	0.00625
35	arrived_vehicles	160
35	non_arrived_vehicles	8
35	total_trip_time	5356.0
35	total_wait_time	80.0
36	fitness	0.006329113924050633
36	global_fitness	0.00625
36	arrived_vehicles	158
36	non_arrived_vehicles	9
36	total_trip_time	5361.0
36	total_wait_time	85.0
37	fitness	0.006329113924050633
37	global_fitness	0.00625
37	arrived_vehicles	158
37	non_arrived_vehicles	9
37	total_trip_time	5361.0
37	total_wait_time	85.0
38	fitness	0.006369426751592357
38	global_fitness	0.00625
38	arrived_vehicles	157
38	non_arrived_vehicles	10
38	total_trip_time	5315.0
38	total_wait_time	81.0
39	fitness	0.00625
39	global_fitness	0.00625
39	arrived_vehicles	160
39	non_arrived_vehicles	8
39	total_trip_time	5356.0
39	total_wait_time	80.0
