Iteration	Metric	Value
0	fitness	0.006578947368421052
0	global_fitness	0.006578947368421052
0	arrived_vehicles	152
0	non_arrived_vehicles	14
0	total_trip_time	5738.0
0	total_wait_time	173.0
1	fitness	0.009009009009009009
1	global_fitness	0.006578947368421052
1	arrived_vehicles	111
1	non_arrived_vehicles	30
1	total_trip_time	10861.0
1	total_wait_time	3141.0
2	fitness	0.00819672131147541
2	global_fitness	0.006578947368421052
2	arrived_vehicles	122
2	non_arrived_vehicles	30
2	total_trip_time	10171.0
2	total_wait_time	3295.0
3	fitness	0.006535947712418301
3	global_fitness	0.006535947712418301
3	arrived_vehicles	153
3	non_arrived_vehicles	14
3	total_trip_time	5422.0
3	total_wait_time	92.0
4	fitness	0.006535947712418301
4	global_fitness	0.006535947712418301
4	arrived_vehicles	153
4	non_arrived_vehicles	14
4	total_trip_time	5690.0
4	total_wait_time	222.0
5	fitness	0.008771929824561403
5	global_fitness	0.006535947712418301
5	arrived_vehicles	114
5	non_arrived_vehicles	30
5	total_trip_time	10481.0
5	total_wait_time	2535.0
6	fitness	0.006493506493506494
6	global_fitness	0.006493506493506494
6	arrived_vehicles	154
6	non_arrived_vehicles	13
6	total_trip_time	5572.0
6	total_wait_time	173.0
7	fitness	0.00641025641025641
7	global_fitness	0.00641025641025641
7	arrived_vehicles	156
7	non_arrived_vehicles	11
7	total_trip_time	6156.0
7	total_wait_time	471.0
8	fitness	0.006329113924050633
8	global_fitness	0.006329113924050633
8	arrived_vehicles	158
8	non_arrived_vehicles	9
8	total_trip_time	6509.0
8	total_wait_time	593.0
9	fitness	0.006578947368421052
9	global_fitness	0.006329113924050633
9	arrived_vehicles	152
9	non_arrived_vehicles	15
9	total_trip_time	5552.0
9	total_wait_time	126.0
10	fitness	0.006369426751592357
10	global_fitness	0.006329113924050633
10	arrived_vehicles	157
10	non_arrived_vehicles	9
10	total_trip_time	6281.0
10	total_wait_time	532.0
11	fitness	0.006329113924050633
11	global_fitness	0.006329113924050633
11	arrived_vehicles	158
11	non_arrived_vehicles	8
11	total_trip_time	6484.0
11	total_wait_time	590.0
12	fitness	0.007142857142857143
12	global_fitness	0.006329113924050633
12	arrived_vehicles	140
12	non_arrived_vehicles	26
12	total_trip_time	7609.0
12	total_wait_time	1484.0
13	fitness	0.006666666666666667
13	global_fitness	0.006329113924050633
13	arrived_vehicles	150
13	non_arrived_vehicles	17
13	total_trip_time	5930.0
13	total_wait_time	451.0
14	fitness	0.0064516129032258064
14	global_fitness	0.006329113924050633
14	arrived_vehicles	155
14	non_arrived_vehicles	12
14	total_trip_time	6457.0
14	total_wait_time	625.0
15	fitness	0.006493506493506494
15	global_fitness	0.006329113924050633
15	arrived_vehicles	154
15	non_arrived_vehicles	13
15	total_trip_time	5688.0
15	total_wait_time	280.0
16	fitness	0.0064516129032258064
16	global_fitness	0.006329113924050633
16	arrived_vehicles	155
16	non_arrived_vehicles	11
16	total_trip_time	5636.0
16	total_wait_time	243.0
17	fitness	0.00641025641025641
17	global_fitness	0.006329113924050633
17	arrived_vehicles	156
17	non_arrived_vehicles	11
17	total_trip_time	5882.0
17	total_wait_time	271.0
18	fitness	0.0064516129032258064
18	global_fitness	0.006329113924050633
18	arrived_vehicles	155
18	non_arrived_vehicles	12
18	total_trip_time	5972.0
18	total_wait_time	245.0
19	fitness	0.006535947712418301
19	global_fitness	0.006329113924050633
19	arrived_vehicles	153
19	non_arrived_vehicles	14
19	total_trip_time	7496.0
19	total_wait_time	1234.0
20	fitness	0.0064516129032258064
20	global_fitness	0.006329113924050633
20	arrived_vehicles	155
20	non_arrived_vehicles	12
20	total_trip_time	5758.0
20	total_wait_time	166.0
21	fitness	0.006493506493506494
21	global_fitness	0.006329113924050633
21	arrived_vehicles	154
21	non_arrived_vehicles	13
21	total_trip_time	5125.0
21	total_wait_time	69.0
22	fitness	0.006535947712418301
22	global_fitness	0.006329113924050633
22	arrived_vehicles	153
22	non_arrived_vehicles	13
22	total_trip_time	5886.0
22	total_wait_time	386.0
23	fitness	0.006756756756756757
23	global_fitness	0.006329113924050633
23	arrived_vehicles	148
23	non_arrived_vehicles	19
23	total_trip_time	7137.0
23	total_wait_time	1259.0
24	fitness	0.006329113924050633
24	global_fitness	0.006329113924050633
24	arrived_vehicles	158
24	non_arrived_vehicles	9
24	total_trip_time	6509.0
