Iteration	Metric	Value
0	fitness	0.0006418485237483953
0	global_fitness	0.0006418485237483953
0	arrived_vehicles	1558
0	non_arrived_vehicles	307
0	total_trip_time	484337.0
0	total_wait_time	310063.0
1	fitness	0.0006261740763932373
1	global_fitness	0.0006261740763932373
1	arrived_vehicles	1597
1	non_arrived_vehicles	303
1	total_trip_time	499955.0
1	total_wait_time	320212.0
2	fitness	0.0006688963210702341
2	global_fitness	0.0006261740763932373
2	arrived_vehicles	1495
2	non_arrived_vehicles	375
2	total_trip_time	503709.0
2	total_wait_time	332569.0
3	fitness	0.0006863417982155113
3	global_fitness	0.0006261740763932373
3	arrived_vehicles	1457
3	non_arrived_vehicles	369
3	total_trip_time	447492.0
3	total_wait_time	291430.0
4	fitness	0.0006337135614702154
4	global_fitness	0.0006261740763932373
4	arrived_vehicles	1578
4	non_arrived_vehicles	410
4	total_trip_time	511998.0
4	total_wait_time	329127.0
5	fitness	0.0007017543859649122
5	global_fitness	0.0006261740763932373
5	arrived_vehicles	1425
5	non_arrived_vehicles	350
5	total_trip_time	516542.0
5	total_wait_time	346816.0
6	fitness	0.0006729475100942127
6	global_fitness	0.0006261740763932373
6	arrived_vehicles	1486
6	non_arrived_vehicles	333
6	total_trip_time	429293.0
6	total_wait_time	270034.0
7	fitness	0.0006435006435006435
7	global_fitness	0.0006261740763932373
7	arrived_vehicles	1554
7	non_arrived_vehicles	329
7	total_trip_time	467258.0
7	total_wait_time	295789.0
8	fitness	0.0006839945280437756
8	global_fitness	0.0006261740763932373
8	arrived_vehicles	1462
8	non_arrived_vehicles	327
8	total_trip_time	502520.0
8	total_wait_time	339045.0
9	fitness	0.0006565988181221273
9	global_fitness	0.0006261740763932373
9	arrived_vehicles	1523
9	non_arrived_vehicles	330
9	total_trip_time	499156.0
9	total_wait_time	322785.0
10	fitness	0.0006333122229259025
10	global_fitness	0.0006261740763932373
10	arrived_vehicles	1579
10	non_arrived_vehicles	283
10	total_trip_time	468726.0
10	total_wait_time	292329.0
11	fitness	0.0006816632583503749
11	global_fitness	0.0006261740763932373
11	arrived_vehicles	1467
11	non_arrived_vehicles	360
11	total_trip_time	514268.0
11	total_wait_time	337070.0
12	fitness	0.0006506180871828237
12	global_fitness	0.0006261740763932373
12	arrived_vehicles	1537
12	non_arrived_vehicles	309
12	total_trip_time	450770.0
12	total_wait_time	283740.0
13	fitness	0.000646830530401035
13	global_fitness	0.0006261740763932373
13	arrived_vehicles	1546
13	non_arrived_vehicles	326
13	total_trip_time	499285.0
13	total_wait_time	317189.0
14	fitness	0.0006830601092896175
14	global_fitness	0.0006261740763932373
14	arrived_vehicles	1464
14	non_arrived_vehicles	371
14	total_trip_time	475195.0
14	total_wait_time	316985.0
15	fitness	0.0006702412868632708
15	global_fitness	0.0006261740763932373
15	arrived_vehicles	1492
15	non_arrived_vehicles	356
15	total_trip_time	497633.0
15	total_wait_time	330530.0
16	fitness	0.0006868131868131869
16	global_fitness	0.0006261740763932373
16	arrived_vehicles	1456
16	non_arrived_vehicles	311
16	total_trip_time	457156.0
16	total_wait_time	295534.0
17	fitness	0.0006925207756232687
17	global_fitness	0.0006261740763932373
17	arrived_vehicles	1444
17	non_arrived_vehicles	333
17	total_trip_time	457129.0
17	total_wait_time	295042.0
18	fitness	0.0006591957811470006
18	global_fitness	0.0006261740763932373
18	arrived_vehicles	1517
18	non_arrived_vehicles	312
18	total_trip_time	489247.0
18	total_wait_time	316568.0
19	fitness	0.0006548788474132286
19	global_fitness	0.0006261740763932373
19	arrived_vehicles	1527
19	non_arrived_vehicles	326
19	total_trip_time	456337.0
19	total_wait_time	286152.0
20	fitness	0.000676132521974307
20	global_fitness	0.0006261740763932373
20	arrived_vehicles	1479
