Iteration	Metric	Value
0	fitness	0.513158431540447
0	global_fitness	0.513158431540447
0	arrived_vehicles	1477
0	non_arrived_vehicles	282
0	total_trip_time	426480.0
0	total_wait_time	269990.0
1	fitness	0.49978924948900355
1	global_fitness	0.49978924948900355
1	arrived_vehicles	1597
1	non_arrived_vehicles	303
1	total_trip_time	499955.0
1	total_wait_time	320212.0
2	fitness	0.5202879309019598
2	global_fitness	0.49978924948900355
2	arrived_vehicles	1543
2	non_arrived_vehicles	315
2	total_trip_time	466383.0
2	total_wait_time	299844.0
3	fitness	0.4928075840754871
3	global_fitness	0.4928075840754871
3	arrived_vehicles	1519
3	non_arrived_vehicles	295
3	total_trip_time	427109.0
3	total_wait_time	267476.0
4	fitness	0.4648833567341838
4	global_fitness	0.4648833567341838
4	arrived_vehicles	1663
4	non_arrived_vehicles	341
4	total_trip_time	485343.0
4	total_wait_time	288824.0
5	fitness	0.6098730867335261
5	global_fitness	0.4648833567341838
5	arrived_vehicles	1478
5	non_arrived_vehicles	371
5	total_trip_time	470892.0
5	total_wait_time	304866.0
6	fitness	0.46681166854758727
6	global_fitness	0.4648833567341838
6	arrived_vehicles	1710
6	non_arrived_vehicles	319
6	total_trip_time	547051.0
6	total_wait_time	339453.0
7	fitness	0.42725583926963956
7	global_fitness	0.42725583926963956
7	arrived_vehicles	1707
7	non_arrived_vehicles	351
7	total_trip_time	454404.0
7	total_wait_time	264055.0
8	fitness	0.5638930584668883
8	global_fitness	0.42725583926963956
8	arrived_vehicles	1577
8	non_arrived_vehicles	360
8	total_trip_time	524840.0
8	total_wait_time	337522.0
9	fitness	0.4768890904509952
9	global_fitness	0.42725583926963956
9	arrived_vehicles	1575
9	non_arrived_vehicles	296
9	total_trip_time	459265.0
9	total_wait_time	279718.0
10	fitness	0.45942744502314814
10	global_fitness	0.42725583926963956
10	arrived_vehicles	1728
10	non_arrived_vehicles	368
10	total_trip_time	513584.0
10	total_wait_time	306259.0
11	fitness	0.6936030804282995
11	global_fitness	0.42725583926963956
11	arrived_vehicles	1286
11	non_arrived_vehicles	357
11	total_trip_time	373108.0
11	total_wait_time	238470.0
12	fitness	0.4321906885203932
12	global_fitness	0.42725583926963956
12	arrived_vehicles	1732
12	non_arrived_vehicles	337
12	total_trip_time	495149.0
12	total_wait_time	295847.0
13	fitness	0.4750206405682085
13	global_fitness	0.42725583926963956
13	arrived_vehicles	1549
13	non_arrived_vehicles	250
13	total_trip_time	469714.0
13	total_wait_time	295051.0
14	fitness	0.4689653332957948
14	global_fitness	0.42725583926963956
14	arrived_vehicles	1643
14	non_arrived_vehicles	310
14	total_trip_time	490954.0
14	total_wait_time	309994.0
15	fitness	0.40065157083519154
15	global_fitness	0.40065157083519154
15	arrived_vehicles	1761
15	non_arrived_vehicles	296
15	total_trip_time	502884.0
15	total_wait_time	295585.0
16	fitness	0.4613495198222965
16	global_fitness	0.40065157083519154
16	arrived_vehicles	1631
16	non_arrived_vehicles	316
16	total_trip_time	470069.0
16	total_wait_time	283195.0
17	fitness	0.40343917685230696
17	global_fitness	0.40065157083519154
17	arrived_vehicles	1714
17	non_arrived_vehicles	285
17	total_trip_time	476210.0
17	total_wait_time	281512.0
18	fitness	0.44884152837844715
18	global_fitness	0.40065157083519154
18	arrived_vehicles	1711
18	non_arrived_vehicles	335
18	total_trip_time	506339.0
18	total_wait_time	305154.0
19	fitness	0.5434725422591467
19	global_fitness	0.40065157083519154
19	arrived_vehicles	1509
19	non_arrived_vehicles	349
19	total_trip_time	440939.0
19	total_wait_time	273092.0
20	fitness	0.4832018692783016
20	global_fitness	0.40065157083519154
20	arrived_vehicles	1655
20	non_arrived_vehicles	334
20	total_trip_time	507305.0
20	total_wait_time	315197.0
21	fitness	0.40085582220178817
21	global_fitness	0.40065157083519154
21	arrived_vehicles	1745
21	non_arrived_vehicles	279
21	total_trip_time	501077.0
21	total_wait_time	301039.0
22	fitness	0.5778575666041691
22	global_fitness	0.40065157083519154
22	arrived_vehicles	1534
22	non_arrived_vehicles	369
22	total_trip_time	490263.0
22	total_wait_time	316026.0
23	fitness	0.5436224719393978
23	global_fitness	0.40065157083519154
23	arrived_vehicles	1567
23	non_arrived_vehicles	353
23	total_trip_time	489307.0
23	total_wait_time	316052.0
24	fitness	0.520605428076843
24	global_fitness	0.40065157083519154
24	arrived_vehicles	1568
24	non_arrived_vehicles	309
24	total_trip_time	498074.0
24	total_wait_time	318399.0
25	fitness	0.5146668913390089
25	global_fitness	0.40065157083519154
25	arrived_vehicles	1533
25	non_arrived_vehicles	322
25	total_trip_time	445674.0
25	total_wait_time	280839.0
26	fitness	0.5036593794715407
26	global_fitness	0.40065157083519154
26	arrived_vehicles	1572
26	non_arrived_vehicles	309
26	total_trip_time	480719.0
26	total_wait_time	300416.0
27	fitness	0.5034798071287762
27	global_fitness	0.40065157083519154
27	arrived_vehicles	1644
27	non_arrived_vehicles	361
27	total_trip_time	503651.0
27	total_wait_time	315622.0
28	fitness	0.4238290390122273
28	global_fitness	0.40065157083519154
28	arrived_vehicles	1689
28	non_arrived_vehicles	279
28	total_trip_time	492738.0
28	total_wait_time	297828.0
29	fitness	0.5280975476654466
29	global_fitness	0.40065157083519154
29	arrived_vehicles	1574
29	non_arrived_vehicles	328
29	total_trip_time	499456.0
29	total_wait_time	316893.0
30	fitness	0.46332324349332266
30	global_fitness	0.40065157083519154
30	arrived_vehicles	1684
30	non_arrived_vehicles	305
30	total_trip_time	524789.0
30	total_wait_time	331629.0
31	fitness	0.6199091256947781
31	global_fitness	0.40065157083519154
31	arrived_vehicles	1507
31	non_arrived_vehicles	389
31	total_trip_time	499382.0
31	total_wait_time	324962.0
32	fitness	0.5526340196439411
32	global_fitness	0.40065157083519154
32	arrived_vehicles	1585
32	non_arrived_vehicles	366
32	total_trip_time	512189.0
32	total_wait_time	327152.0
33	fitness	0.4032038498699164
33	global_fitness	0.40065157083519154
33	arrived_vehicles	1706
33	non_arrived_vehicles	284
33	total_trip_time	467301.0
33	total_wait_time	280198.0
34	fitness	0.48468994779451174
34	global_fitness	0.40065157083519154
34	arrived_vehicles	1611
34	non_arrived_vehicles	310
34	total_trip_time	488873.0
34	total_wait_time	304053.0
35	fitness	0.37156675165769837
35	global_fitness	0.37156675165769837
35	arrived_vehicles	1793
35	non_arrived_vehicles	286
35	total_trip_time	486573.0
35	total_wait_time	278958.0
36	fitness	0.5417039621467671
36	global_fitness	0.37156675165769837
36	arrived_vehicles	1583
36	non_arrived_vehicles	373
36	total_trip_time	490512.0
36	total_wait_time	307438.0
37	fitness	0.3767222119384413
37	global_fitness	0.37156675165769837
37	arrived_vehicles	1764
37	non_arrived_vehicles	287
37	total_trip_time	472915.0
37	total_wait_time	268830.0
38	fitness	0.36593292204619204
38	global_fitness	0.36593292204619204
38	arrived_vehicles	1777
38	non_arrived_vehicles	239
38	total_trip_time	500953.0
38	total_wait_time	296064.0
39	fitness	0.39520407739685864
39	global_fitness	0.36593292204619204
39	arrived_vehicles	1756
39	non_arrived_vehicles	293
39	total_trip_time	487814.0
39	total_wait_time	291312.0
40	fitness	0.4505153552244075
40	global_fitness	0.36593292204619204
40	arrived_vehicles	1723
40	non_arrived_vehicles	358
40	total_trip_time	503103.0
40	total_wait_time	297355.0
41	fitness	0.3600674808220777
41	global_fitness	0.3600674808220777
41	arrived_vehicles	1842
41	non_arrived_vehicles	314
41	total_trip_time	478042.0
41	total_wait_time	272654.0
42	fitness	0.38037909096781375
42	global_fitness	0.3600674808220777
42	arrived_vehicles	1706
42	non_arrived_vehicles	308
42	total_trip_time	416096.0
42	total_wait_time	228973.0
43	fitness	0.49557564372983437
43	global_fitness	0.3600674808220777
43	arrived_vehicles	1631
43	non_arrived_vehicles	361
43	total_trip_time	480048.0
43	total_wait_time	296763.0
44	fitness	0.39239558018978626
44	global_fitness	0.3600674808220777
44	arrived_vehicles	1743
44	non_arrived_vehicles	290
44	total_trip_time	477220.0
44	total_wait_time	279897.0
45	fitness	0.4350784584539987
45	global_fitness	0.3600674808220777
45	arrived_vehicles	1675
45	non_arrived_vehicles	298
45	total_trip_time	482163.0
45	total_wait_time	291504.0
46	fitness	0.4024067425751366
46	global_fitness	0.3600674808220777
46	arrived_vehicles	1747
46	non_arrived_vehicles	263
46	total_trip_time	521881.0
46	total_wait_time	311768.0
47	fitness	0.4096977683751286
47	global_fitness	0.3600674808220777
47	arrived_vehicles	1778
47	non_arrived_vehicles	321
47	total_trip_time	510428.0
47	total_wait_time	303243.0
48	fitness	0.3580294382214325
48	global_fitness	0.3580294382214325
48	arrived_vehicles	1798
48	non_arrived_vehicles	248
48	total_trip_time	496106.0
48	total_wait_time	289333.0
49	fitness	0.37798801212096395
49	global_fitness	0.3580294382214325
49	arrived_vehicles	1768
49	non_arrived_vehicles	281
49	total_trip_time	482584.0
49	total_wait_time	277440.0
50	fitness	0.37946149150581354
50	global_fitness	0.3580294382214325
50	arrived_vehicles	1761
50	non_arrived_vehicles	301
50	total_trip_time	461489.0
50	total_wait_time	263767.0
51	fitness	0.3975994248749743
51	global_fitness	0.3580294382214325
51	arrived_vehicles	1714
51	non_arrived_vehicles	272
51	total_trip_time	477630.0
