Iteration	Metric	Value
0	fitness	0.11891869931839895
0	global_fitness	0.11891869931839895
0	arrived_vehicles	1513
0	non_arrived_vehicles	412
0	total_trip_time	434757.0
0	total_wait_time	272225.0
1	fitness	0.12436177777777778
1	global_fitness	0.11891869931839895
1	arrived_vehicles	1500
1	non_arrived_vehicles	341
1	total_trip_time	445623.0
1	total_wait_time	279814.0
2	fitness	0.10675277105856759
2	global_fitness	0.10675277105856759
2	arrived_vehicles	1686
2	non_arrived_vehicles	362
2	total_trip_time	495043.0
2	total_wait_time	303455.0
3	fitness	0.09502054988662131
3	global_fitness	0.09502054988662131
3	arrived_vehicles	1680
3	non_arrived_vehicles	323
3	total_trip_time	456405.0
3	total_wait_time	268186.0
4	fitness	0.10709323745634475
4	global_fitness	0.09502054988662131
4	arrived_vehicles	1684
4	non_arrived_vehicles	366
4	total_trip_time	501599.0
4	total_wait_time	303701.0
5	fitness	0.10638650315397376
5	global_fitness	0.09502054988662131
5	arrived_vehicles	1598
5	non_arrived_vehicles	323
5	total_trip_time	446358.0
5	total_wait_time	271669.0
6	fitness	0.10759544556047496
6	global_fitness	0.09502054988662131
6	arrived_vehicles	1589
6	non_arrived_vehicles	367
6	total_trip_time	452470.0
6	total_wait_time	271670.0
7	fitness	0.10131665091110116
7	global_fitness	0.09502054988662131
7	arrived_vehicles	1634
7	non_arrived_vehicles	337
7	total_trip_time	447325.0
7	total_wait_time	270511.0
8	fitness	0.0989521844924436
8	global_fitness	0.09502054988662131
8	arrived_vehicles	1682
8	non_arrived_vehicles	334
8	total_trip_time	468189.0
8	total_wait_time	279948.0
9	fitness	0.09000225375008032
9	global_fitness	0.09000225375008032
9	arrived_vehicles	1751
9	non_arrived_vehicles	296
9	total_trip_time	471222.0
9	total_wait_time	275947.0
10	fitness	0.09774377647841462
10	global_fitness	0.09000225375008032
10	arrived_vehicles	1690
10	non_arrived_vehicles	309
10	total_trip_time	469281.0
10	total_wait_time	279166.0
11	fitness	0.09082635321702377
11	global_fitness	0.09000225375008032
11	arrived_vehicles	1764
11	non_arrived_vehicles	325
11	total_trip_time	479213.0
11	total_wait_time	282624.0
12	fitness	0.08618028321672708
12	global_fitness	0.08618028321672708
12	arrived_vehicles	1747
12	non_arrived_vehicles	327
12	total_trip_time	454296.0
12	total_wait_time	263023.0
13	fitness	0.09402062096538114
13	global_fitness	0.08618028321672708
13	arrived_vehicles	1706
13	non_arrived_vehicles	360
13	total_trip_time	471027.0
13	total_wait_time	273641.0
14	fitness	0.08810128598494375
14	global_fitness	0.08618028321672708
14	arrived_vehicles	1692
14	non_arrived_vehicles	285
14	total_trip_time	439098.0
14	total_wait_time	252222.0
15	fitness	0.07968522448979592
15	global_fitness	0.07968522448979592
15	arrived_vehicles	1750
15	non_arrived_vehicles	259
15	total_trip_time	431579.0
15	total_wait_time	244036.0
16	fitness	0.07994762943860345
16	global_fitness	0.07968522448979592
16	arrived_vehicles	1775
16	non_arrived_vehicles	286
16	total_trip_time	447576.0
16	total_wait_time	251885.0
17	fitness	0.08919302797185573
17	global_fitness	0.07968522448979592
17	arrived_vehicles	1745
17	non_arrived_vehicles	265
17	total_trip_time	468444.0
17	total_wait_time	271595.0
18	fitness	0.09704233534030814
18	global_fitness	0.07968522448979592
18	arrived_vehicles	1672
18	non_arrived_vehicles	360
18	total_trip_time	459357.0
18	total_wait_time	271290.0
19	fitness	0.09570121804755027
19	global_fitness	0.07968522448979592
19	arrived_vehicles	1701
19	non_arrived_vehicles	341
19	total_trip_time	472134.0
19	total_wait_time	276902.0
20	fitness	0.0879995162875453
20	global_fitness	0.07968522448979592
20	arrived_vehicles	1768
20	non_arrived_vehicles	294
20	total_trip_time	474318.0
20	total_wait_time	275071.0
21	fitness	0.09212296056607083
21	global_fitness	0.07968522448979592
21	arrived_vehicles	1769
21	non_arrived_vehicles	284
21	total_trip_time	487243.0
21	total_wait_time	288286.0
22	fitness	0.08706419857171196
22	global_fitness	0.07968522448979592
22	arrived_vehicles	1704
22	non_arrived_vehicles	248
22	total_trip_time	439712.0
22	total_wait_time	252801.0
23	fitness	0.091172682130685
23	global_fitness	0.07968522448979592
23	arrived_vehicles	1732
23	non_arrived_vehicles	255
23	total_trip_time	468241.0
23	total_wait_time	273502.0
24	fitness	0.08844532842917631
