Iteration	Metric	Value
0	fitness	3.9905997432448126e-07
0	global_fitness	3.9905997432448126e-07
0	arrived_vehicles	1583
0	non_arrived_vehicles	497
0	total_trip_time	482065.0
0	total_wait_time	302957.0
1	fitness	3.464282039672265e-07
1	global_fitness	3.464282039672265e-07
1	arrived_vehicles	1699
1	non_arrived_vehicles	487
1	total_trip_time	511532.0
1	total_wait_time	315940.0
2	fitness	3.7180249851279003e-07
2	global_fitness	3.464282039672265e-07
2	arrived_vehicles	1640
2	non_arrived_vehicles	546
2	total_trip_time	513551.0
2	total_wait_time	325433.0
3	fitness	3.26530612244898e-07
3	global_fitness	3.26530612244898e-07
3	arrived_vehicles	1750
3	non_arrived_vehicles	469
3	total_trip_time	479147.0
3	total_wait_time	282247.0
4	fitness	3.686487805651312e-07
4	global_fitness	3.26530612244898e-07
4	arrived_vehicles	1647
4	non_arrived_vehicles	488
4	total_trip_time	490790.0
4	total_wait_time	302767.0
5	fitness	3.5304638429310756e-07
5	global_fitness	3.26530612244898e-07
5	arrived_vehicles	1683
5	non_arrived_vehicles	464
5	total_trip_time	483093.0
5	total_wait_time	298164.0
6	fitness	3.4359113205031826e-07
6	global_fitness	3.26530612244898e-07
6	arrived_vehicles	1706
6	non_arrived_vehicles	441
6	total_trip_time	460006.0
6	total_wait_time	273891.0
7	fitness	3.431886827354472e-07
7	global_fitness	3.26530612244898e-07
7	arrived_vehicles	1707
7	non_arrived_vehicles	486
7	total_trip_time	497094.0
7	total_wait_time	300296.0
8	fitness	3.476548593805625e-07
8	global_fitness	3.26530612244898e-07
8	arrived_vehicles	1696
8	non_arrived_vehicles	450
8	total_trip_time	504177.0
8	total_wait_time	313130.0
9	fitness	3.395982416961438e-07
9	global_fitness	3.26530612244898e-07
9	arrived_vehicles	1716
9	non_arrived_vehicles	431
9	total_trip_time	496994.0
9	total_wait_time	300174.0
10	fitness	3.607210814418022e-07
10	global_fitness	3.26530612244898e-07
10	arrived_vehicles	1665
10	non_arrived_vehicles	420
10	total_trip_time	444598.0
10	total_wait_time	261040.0
11	fitness	3.423859024658975e-07
11	global_fitness	3.26530612244898e-07
11	arrived_vehicles	1709
11	non_arrived_vehicles	435
11	total_trip_time	492063.0
11	total_wait_time	300298.0
12	fitness	3.50957974888255e-07
12	global_fitness	3.26530612244898e-07
12	arrived_vehicles	1688
12	non_arrived_vehicles	481
12	total_trip_time	497316.0
12	total_wait_time	302996.0
13	fitness	3.58564308508731e-07
13	global_fitness	3.26530612244898e-07
13	arrived_vehicles	1670
13	non_arrived_vehicles	458
13	total_trip_time	498366.0
13	total_wait_time	307526.0
14	fitness	3.36453830459569e-07
14	global_fitness	3.26530612244898e-07
14	arrived_vehicles	1724
14	non_arrived_vehicles	488
14	total_trip_time	467258.0
14	total_wait_time	277040.0
15	fitness	3.3999439009256345e-07
15	global_fitness	3.26530612244898e-07
15	arrived_vehicles	1715
15	non_arrived_vehicles	416
15	total_trip_time	461214.0
15	total_wait_time	273977.0
16	fitness	3.3684448799469405e-07
16	global_fitness	3.26530612244898e-07
16	arrived_vehicles	1723
16	non_arrived_vehicles	493
16	total_trip_time	507173.0
16	total_wait_time	309127.0
17	fitness	3.3999439009256345e-07
17	global_fitness	3.26530612244898e-07
17	arrived_vehicles	1715
17	non_arrived_vehicles	454
17	total_trip_time	465884.0
17	total_wait_time	276299.0
