Iteration	Metric	Value
0	fitness	0.5699691827423357
0	global_fitness	0.5699691827423357
0	arrived_vehicles	1612
0	non_arrived_vehicles	501
0	total_trip_time	456672.0
0	total_wait_time	272918.0
1	fitness	0.567768455473126
1	global_fitness	0.567768455473126
1	arrived_vehicles	1636
1	non_arrived_vehicles	497
1	total_trip_time	482060.0
1	total_wait_time	292070.0
2	fitness	0.5065313715974333
2	global_fitness	0.5065313715974333
2	arrived_vehicles	1631
2	non_arrived_vehicles	416
2	total_trip_time	454699.0
2	total_wait_time	268756.0
3	fitness	0.42438182485213577
3	global_fitness	0.42438182485213577
3	arrived_vehicles	1699
3	non_arrived_vehicles	374
3	total_trip_time	425726.0
3	total_wait_time	238295.0
4	fitness	0.47075397003661196
4	global_fitness	0.42438182485213577
4	arrived_vehicles	1688
4	non_arrived_vehicles	429
4	total_trip_time	442138.0
4	total_wait_time	255702.0
5	fitness	0.43378382429139745
5	global_fitness	0.42438182485213577
5	arrived_vehicles	1674
5	non_arrived_vehicles	377
5	total_trip_time	414238.0
5	total_wait_time	235844.0
6	fitness	0.45162194216006984
6	global_fitness	0.42438182485213577
6	arrived_vehicles	1662
6	non_arrived_vehicles	382
6	total_trip_time	426829.0
6	total_wait_time	247661.0
7	fitness	0.4362407663176654
7	global_fitness	0.42438182485213577
7	arrived_vehicles	1675
7	non_arrived_vehicles	381
7	total_trip_time	417124.0
7	total_wait_time	235304.0
8	fitness	0.46679600111186725
8	global_fitness	0.42438182485213577
8	arrived_vehicles	1615
8	non_arrived_vehicles	370
8	total_trip_time	419466.0
8	total_wait_time	243043.0
9	fitness	0.42381868512110726
9	global_fitness	0.42381868512110726
9	arrived_vehicles	1700
9	non_arrived_vehicles	362
9	total_trip_time	434361.0
9	total_wait_time	247475.0
10	fitness	0.42977790451629966
10	global_fitness	0.42381868512110726
10	arrived_vehicles	1704
10	non_arrived_vehicles	385
10	total_trip_time	428374.0
10	total_wait_time	242036.0
11	fitness	0.4578433331740426
11	global_fitness	0.42381868512110726
11	arrived_vehicles	1662
11	non_arrived_vehicles	399
11	total_trip_time	425573.0
11	total_wait_time	240602.0
12	fitness	0.422912
12	global_fitness	0.422912
12	arrived_vehicles	1750
12	non_arrived_vehicles	389
12	total_trip_time	455613.0
12	total_wait_time	256055.0
13	fitness	0.44199630043118915
13	global_fitness	0.422912
13	arrived_vehicles	1676
13	non_arrived_vehicles	372
13	total_trip_time	434648.0
13	total_wait_time	248909.0
14	fitness	0.44419375005503264
14	global_fitness	0.422912
14	arrived_vehicles	1685
14	non_arrived_vehicles	373
14	total_trip_time	446996.0
14	total_wait_time	254670.0
15	fitness	0.42831631280412835
15	global_fitness	0.422912
15	arrived_vehicles	1719
15	non_arrived_vehicles	358
15	total_trip_time	461955.0
15	total_wait_time	266703.0
16	fitness	0.39178603622221436
16	global_fitness	0.39178603622221436
16	arrived_vehicles	1746
16	non_arrived_vehicles	332
16	total_trip_time	446449.0
16	total_wait_time	249917.0
17	fitness	0.42692021209443254
17	global_fitness	0.39178603622221436
17	arrived_vehicles	1780
17	non_arrived_vehicles	440
17	total_trip_time	447176.0
17	total_wait_time	245478.0
18	fitness	0.4278472185755973
18	global_fitness	0.39178603622221436
18	arrived_vehicles	1751
18	non_arrived_vehicles	409
18	total_trip_time	447109.0
18	total_wait_time	251171.0
19	fitness	0.424207375455206
19	global_fitness	0.39178603622221436
19	arrived_vehicles	1711
19	non_arrived_vehicles	376
19	total_trip_time	434726.0
19	total_wait_time	243150.0
20	fitness	0.4066075629914135
20	global_fitness	0.39178603622221436
20	arrived_vehicles	1784
20	non_arrived_vehicles	381
20	total_trip_time	462761.0
20	total_wait_time	259831.0
21	fitness	0.4055162245136684
21	global_fitness	0.39178603622221436
21	arrived_vehicles	1731
21	non_arrived_vehicles	356
21	total_trip_time	435625.0
21	total_wait_time	245448.0
22	fitness	0.4397856915575201
22	global_fitness	0.39178603622221436
22	arrived_vehicles	1705
22	non_arrived_vehicles	406
22	total_trip_time	430616.0
22	total_wait_time	238852.0
23	fitness	0.40157266261825914
23	global_fitness	0.39178603622221436
23	arrived_vehicles	1791
23	non_arrived_vehicles	391
23	total_trip_time	452040.0
23	total_wait_time	249577.0
24	fitness	0.401313026203765
24	global_fitness	0.39178603622221436
24	arrived_vehicles	1705
24	non_arrived_vehicles	344
24	total_trip_time	418237.0
24	total_wait_time	232390.0
25	fitness	0.4175635045309961
25	global_fitness	0.39178603622221436
25	arrived_vehicles	1731
25	non_arrived_vehicles	378
25	total_trip_time	438193.0
25	total_wait_time	245978.0
26	fitness	0.42309635773644433
26	global_fitness	0.39178603622221436
26	arrived_vehicles	1761
26	non_arrived_vehicles	413
