Iteration	Metric	Value
0	fitness	0.7284325800276512
0	global_fitness	0.7284325800276512
0	arrived_vehicles	1344
0	non_arrived_vehicles	416
0	total_trip_time	418107.0
0	total_wait_time	274076.0
1	fitness	0.8897076294248063
1	global_fitness	0.7284325800276512
1	arrived_vehicles	1309
1	non_arrived_vehicles	530
1	total_trip_time	436033.0
1	total_wait_time	293913.0
2	fitness	0.8186520755468181
2	global_fitness	0.7284325800276512
2	arrived_vehicles	1413
2	non_arrived_vehicles	524
2	total_trip_time	505875.0
2	total_wait_time	343030.0
3	fitness	0.7197085021377605
3	global_fitness	0.7197085021377605
3	arrived_vehicles	1280
3	non_arrived_vehicles	395
3	total_trip_time	362580.0
3	total_wait_time	224473.0
4	fitness	0.7998113694016878
4	global_fitness	0.7197085021377605
4	arrived_vehicles	1292
4	non_arrived_vehicles	454
4	total_trip_time	392002.0
4	total_wait_time	262518.0
5	fitness	0.5839317448435442
5	global_fitness	0.5839317448435442
5	arrived_vehicles	1593
5	non_arrived_vehicles	481
5	total_trip_time	473856.0
5	total_wait_time	286760.0
6	fitness	0.6393924013583342
6	global_fitness	0.5839317448435442
6	arrived_vehicles	1431
6	non_arrived_vehicles	401
6	total_trip_time	435671.0
6	total_wait_time	272499.0
7	fitness	0.5293525104758048
7	global_fitness	0.5293525104758048
7	arrived_vehicles	1652
7	non_arrived_vehicles	445
7	total_trip_time	484058.0
7	total_wait_time	293381.0
8	fitness	0.5795156200981723
8	global_fitness	0.5293525104758048
8	arrived_vehicles	1614
8	non_arrived_vehicles	500
8	total_trip_time	475734.0
8	total_wait_time	284200.0
9	fitness	0.5644373035417625
9	global_fitness	0.5293525104758048
9	arrived_vehicles	1642
9	non_arrived_vehicles	495
9	total_trip_time	489842.0
9	total_wait_time	289755.0
10	fitness	0.539925706273365
10	global_fitness	0.5293525104758048
10	arrived_vehicles	1653
10	non_arrived_vehicles	480
10	total_trip_time	473415.0
10	total_wait_time	282167.0
11	fitness	0.5869846057714952
11	global_fitness	0.5293525104758048
11	arrived_vehicles	1613
11	non_arrived_vehicles	544
11	total_trip_time	451896.0
11	total_wait_time	259599.0
12	fitness	0.5574495107561582
12	global_fitness	0.5293525104758048
12	arrived_vehicles	1612
12	non_arrived_vehicles	475
12	total_trip_time	461969.0
12	total_wait_time	274382.0
13	fitness	0.5385872396758653
13	global_fitness	0.5293525104758048
13	arrived_vehicles	1606
13	non_arrived_vehicles	425
13	total_trip_time	469577.0
13	total_wait_time	282355.0
14	fitness	0.4901987939017824
14	global_fitness	0.4901987939017824
14	arrived_vehicles	1709
14	non_arrived_vehicles	444
14	total_trip_time	480796.0
14	total_wait_time	285177.0
15	fitness	0.4889955865982857
15	global_fitness	0.4889955865982857
15	arrived_vehicles	1648
15	non_arrived_vehicles	398
15	total_trip_time	458017.0
15	total_wait_time	273313.0
16	fitness	0.49330289829654106
16	global_fitness	0.4889955865982857
16	arrived_vehicles	1730
