Iteration	Metric	Value
0	fitness	0.1476162675712211
0	global_fitness	0.1476162675712211
0	arrived_vehicles	1213
0	non_arrived_vehicles	461
0	total_trip_time	336667.0
0	total_wait_time	217198.0
1	fitness	0.16689044211866083
1	global_fitness	0.1476162675712211
1	arrived_vehicles	1364
1	non_arrived_vehicles	462
1	total_trip_time	457715.0
1	total_wait_time	310499.0
2	fitness	0.17077045621651904
2	global_fitness	0.1476162675712211
2	arrived_vehicles	1352
2	non_arrived_vehicles	502
2	total_trip_time	460061.0
2	total_wait_time	312152.0
3	fitness	0.1430078034786183
3	global_fitness	0.1430078034786183
3	arrived_vehicles	1374
3	non_arrived_vehicles	492
3	total_trip_time	421543.0
3	total_wait_time	269981.0
4	fitness	0.14302234834694547
4	global_fitness	0.1430078034786183
4	arrived_vehicles	1417
4	non_arrived_vehicles	515
4	total_trip_time	448608.0
4	total_wait_time	287173.0
5	fitness	0.1186775586475089
5	global_fitness	0.1186775586475089
5	arrived_vehicles	1592
5	non_arrived_vehicles	481
5	total_trip_time	482658.0
5	total_wait_time	300784.0
6	fitness	0.12421741717913112
6	global_fitness	0.1186775586475089
6	arrived_vehicles	1420
6	non_arrived_vehicles	478
6	total_trip_time	399826.0
6	total_wait_time	250472.0
7	fitness	0.12640414386219737
7	global_fitness	0.1186775586475089
7	arrived_vehicles	1266
7	non_arrived_vehicles	539
7	total_trip_time	336149.0
7	total_wait_time	202595.0
8	fitness	0.11926746747551854
8	global_fitness	0.1186775586475089
8	arrived_vehicles	1569
8	non_arrived_vehicles	516
8	total_trip_time	472616.0
8	total_wait_time	293608.0
9	fitness	0.12237725915785919
9	global_fitness	0.1186775586475089
9	arrived_vehicles	1579
9	non_arrived_vehicles	589
9	total_trip_time	488670.0
9	total_wait_time	305116.0
10	fitness	0.12183934710579856
10	global_fitness	0.1186775586475089
10	arrived_vehicles	1562
10	non_arrived_vehicles	518
10	total_trip_time	480640.0
10	total_wait_time	297269.0
11	fitness	0.12345415386499811
11	global_fitness	0.1186775586475089
11	arrived_vehicles	1565
11	non_arrived_vehicles	515
11	total_trip_time	482988.0
11	total_wait_time	302367.0
12	fitness	0.12356299923224373
12	global_fitness	0.1186775586475089
12	arrived_vehicles	1599
12	non_arrived_vehicles	483
12	total_trip_time	502263.0
12	total_wait_time	315926.0
13	fitness	0.12055330042170652
13	global_fitness	0.1186775586475089
13	arrived_vehicles	1592
13	non_arrived_vehicles	545
13	total_trip_time	487780.0
13	total_wait_time	305538.0
14	fitness	0.11254497570519757
14	global_fitness	0.11254497570519757
14	arrived_vehicles	1657
14	non_arrived_vehicles	528
14	total_trip_time	498531.0
14	total_wait_time	309009.0
15	fitness	0.11270998873358694
15	global_fitness	0.11254497570519757
15	arrived_vehicles	1651
15	non_arrived_vehicles	487
15	total_trip_time	498723.0
15	total_wait_time	307225.0
16	fitness	0.11293324032854184
16	global_fitness	0.11254497570519757
16	arrived_vehicles	1703
16	non_arrived_vehicles	518
16	total_trip_time	526923.0
16	total_wait_time	327530.0
17	fitness	0.10272883991346674
17	global_fitness	0.10272883991346674
17	arrived_vehicles	1720
17	non_arrived_vehicles	485
17	total_trip_time	501244.0
17	total_wait_time	303913.0
18	fitness	0.10110099471349339
18	global_fitness	0.10110099471349339
18	arrived_vehicles	1746
18	non_arrived_vehicles	553
18	total_trip_time	514886.0
18	total_wait_time	308208.0
19	fitness	0.10323166218385772
19	global_fitness	0.10110099471349339
19	arrived_vehicles	1752
19	non_arrived_vehicles	519
19	total_trip_time	523821.0
19	total_wait_time	316870.0
20	fitness	0.09678524102360643
20	global_fitness	0.09678524102360643
20	arrived_vehicles	1775
20	non_arrived_vehicles	529
20	total_trip_time	515182.0
20	total_wait_time	304934.0
21	fitness	0.09964071576804426
21	global_fitness	0.09678524102360643
21	arrived_vehicles	1707
21	non_arrived_vehicles	522
21	total_trip_time	487539.0
21	total_wait_time	290338.0
22	fitness	0.09925721526903068
22	global_fitness	0.09678524102360643
22	arrived_vehicles	1774
22	non_arrived_vehicles	497
22	total_trip_time	521050.0
22	total_wait_time	312370.0
23	fitness	0.09998530181183067
23	global_fitness	0.09678524102360643
23	arrived_vehicles	1771
23	non_arrived_vehicles	510
23	total_trip_time	521743.0
23	total_wait_time	313598.0
24	fitness	0.09896067711953749
24	global_fitness	0.09678524102360643
24	arrived_vehicles	1777
24	non_arrived_vehicles	504
24	total_trip_time	519483.0
24	total_wait_time	312491.0
25	fitness	0.10252899460893848
